player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_unweighted_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_defensive_contribution_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_defensive_contribution_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_defensive_contribution,long_form_bonus,long_form_bps,long_form_unweighted_expected_goals,long_form_unweighted_expected_assists,long_form_unweighted_expected_goals_conceded,long_form_unweighted_defensive_contribution,long_form_unweighted_bonus,long_form_unweighted_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_defensive_contribution,short_form_bonus,short_form_bps,short_form_unweighted_minutes,short_form_bps_90,now_cost,status,season_subs,fbref_starts,fbref_squads_made
223340,Saka,Arsenal,MID,157,2,0,0,315.1,2218.0,0.2684,0.3243,0.6447,7.8699,0.9551,223.0,0.2341,0.5691,0.4883,8.4753,1.6143,1.8104,0.8329,1.76,0.8417,0.9397,1.1354,2.2573,27.5533,3.3439,83.6143,7.569999999999999,7.16,15.57,184.0,18.0,570.0,23.8822,0.58,1.41,1.21,21.0,4.0,73.0,223.0,29.4619,95,a,0,2,2
204480,Rice,Arsenal,MID,151,2,0,0,483.0,3093.0,0.0534,0.1924,0.7741,11.1478,0.4442,423.0,0.0,0.1191,0.8298,11.0638,0.0,1.8104,0.8329,1.76,0.8417,0.2864,1.0324,4.1544,59.8263,2.3841,109.2223,3.15,7.32,23.87,376.0,23.0,790.0,20.352,0.0,0.56,3.9,52.0,0.0,69.0,423.0,14.6809,75,a,0,2,2
232413,Eze,Arsenal,MID,59,0,1,0,320.5,1885.0,0.2848,0.1092,0.8061,5.5746,0.2036,355.0,0.3296,0.0887,0.867,4.8169,0.0,1.8104,0.8329,1.76,0.8417,1.0141,0.3889,2.8707,19.8517,0.725,69.0436,5.18,2.66,14.21,120.0,8.0,439.0,19.3882,1.3,0.35000000000000003,3.42,19.0,0.0,73.0,355.0,18.507,64,a,1,0,1
184029,Ødegaard,Arsenal,MID,145,2,0,0,221.6,1363.0,0.0853,0.2278,1.0397,6.233,0.2105,293.0,0.0737,0.2273,1.0167,6.4505,0.0,1.8104,0.8329,1.76,0.8417,0.2101,0.5608,2.56,15.3471,0.5184,47.2635,1.25,3.65,16.2,102.0,5.0,306.0,19.1955,0.24,0.74,3.31,21.0,0.0,54.0,293.0,16.587,66,a,0,2,2
248857,Madueke,Arsenal,MID,22,0,1,0,230.5,1205.0,0.0895,0.2156,0.9031,5.5891,1.0544,263.0,0.0684,0.2498,0.8247,6.5019,1.0266,1.8104,0.8329,1.76,0.8417,0.2293,0.5522,2.313,14.3143,2.7004,58.3958,1.23,2.86,12.77,70.0,9.0,254.0,22.801,0.2,0.73,2.41,19.0,3.0,64.0,263.0,21.9011,63,a,1,0,1
195384,Merino,Arsenal,MID,33,0,1,0,80.2,1024.0,0.4971,0.1398,0.9626,9.9474,0.4601,28.0,1.1893,0.0,2.475,6.4286,0.0,1.8104,0.8329,1.76,0.8417,0.443,0.1246,0.8578,8.8642,0.41,15.4894,3.3600000000000003,1.45,7.36,113.0,5.0,236.0,17.3821,0.37,0.0,0.77,2.0,0.0,-2.0,28.0,-6.4286,59,a,1,0,1
444145,Martinelli,Arsenal,MID,0,0,0,0,196.7,1065.0,0.2951,0.1386,0.949,6.4886,0.5133,173.0,0.3069,0.1353,1.2017,6.2428,1.0405,1.8104,0.8329,1.76,0.8417,0.645,0.303,2.074,14.1813,1.1218,37.6348,4.12,1.27,10.51,77.0,3.0,195.0,17.2198,0.5900000000000001,0.26,2.31,12.0,2.0,33.0,173.0,17.1676,63,a,0,0,0
481655,Zubimendi,Arsenal,MID,27,0,1,0,433.1,2991.0,0.071,0.0578,0.9175,9.573,0.1915,319.0,0.0197,0.0197,1.0834,11.2853,0.0,1.8104,0.8329,1.76,0.8417,0.3418,0.2783,4.4152,46.0675,0.9214,84.5052,2.84,2.27,26.09,307.0,9.0,604.0,17.5605,0.07,0.07,3.84,40.0,0.0,60.0,319.0,16.9279,54,a,1,0,1
616077,Dowman,Arsenal,MID,0,0,0,0,55.0,152.0,0.4935,0.2055,0.4793,9.116,0.0,73.0,0.0986,0.1973,0.2589,11.0959,0.0,1.8104,0.8329,1.76,0.8417,0.3016,0.1256,0.2929,5.5709,0.0,12.5612,1.19,0.30000000000000004,0.88,16.0,0.0,51.0,20.5547,0.08,0.16,0.21,9.0,0.0,8.0,73.0,9.863,54,a,0,0,0
499175,Nwaneri,Arsenal,MID,0,0,0,0,5.0,165.0,0.135,0.0468,0.5364,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8104,0.8329,1.76,0.8417,0.0075,0.0026,0.0298,0.435,0.0,0.7008,0.22999999999999998,0.08,0.73,13.0,0.0,20.0,12.6144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,u,0,0,0
438098,Fábio Vieira,Arsenal,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8104,0.8329,1.76,0.8417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,u,0,0,0
200641,Nelson,Arsenal,MID,0,0,0,0,26.9,118.0,0.3255,0.0642,2.9974,10.9917,0.0,18.0,0.0,0.1,5.05,5.0,0.0,1.8104,0.8329,1.76,0.8417,0.0973,0.0192,0.8959,3.2853,0.0,9.1783,0.71,0.11,3.02,23.0,0.0,39.0,30.7081,0.0,0.02,1.01,1.0,0.0,16.0,18.0,80.0,55,u,0,0,0
224117,Gyökeres,Arsenal,FWD,0,0,0,0,324.9,2217.0,0.593,0.0857,0.8922,3.7999,0.907,239.0,0.7569,0.064,1.0431,4.5188,1.1297,1.8104,0.8329,1.76,0.8417,2.1406,0.3092,3.2207,13.7176,3.2743,87.5547,12.26,1.94,17.81,85.0,16.0,474.0,24.2534,2.01,0.17,2.77,12.0,3.0,86.0,239.0,32.3849,73,a,0,0,0
219847,Havertz,Arsenal,FWD,180,2,0,0,182.2,577.0,0.6068,0.1457,1.0864,4.6788,0.7409,263.0,0.6981,0.1848,1.2217,3.7643,1.0266,1.8104,0.8329,1.76,0.8417,1.2284,0.295,2.1993,9.472,1.5,50.4524,3.31,0.64,6.68,32.0,3.0,143.0,24.9216,2.04,0.54,3.5700000000000003,11.0,3.0,91.0,263.0,31.1407,75,a,0,2,2
205651,G.Jesus,Arsenal,FWD,0,0,0,0,98.4,418.0,0.6843,0.0512,0.5703,4.943,0.0,100.0,0.792,0.027,0.36,3.6,0.0,1.8104,0.8329,1.76,0.8417,0.7482,0.056,0.6235,5.4044,0.0,20.6888,2.71,0.26,3.97,30.0,0.0,92.0,18.9227,0.88,0.03,0.4,4.0,0.0,19.0,100.0,17.1,59,u,0,0,0
199798,Konsa,Arsenal,DEF,11,0,1,0,450.5,3035.0,0.0438,0.015,1.4743,5.5927,0.0499,360.0,0.0,0.0075,1.5325,4.75,0.0,1.8104,0.8329,1.76,0.8417,0.2191,0.0752,7.3798,27.9945,0.25,64.4259,1.27,0.59,48.93,196.0,3.0,497.0,12.8709,0.0,0.03,6.13,19.0,0.0,36.0,360.0,9.0,44,a,1,0,1
208706,Bruno G.,Arsenal,MID,19,0,1,0,350.9,2456.0,0.2027,0.2483,1.228,9.858,0.7268,437.0,0.1586,0.276,1.2069,10.5034,0.6178,1.8104,0.8329,1.76,0.8417,0.7904,0.9681,4.788,38.4351,2.8336,91.0885,5.59,4.96,31.990000000000002,251.0,22.0,681.0,23.3627,0.77,1.34,5.859999999999999,51.0,3.0,97.0,437.0,19.9771,68,a,1,0,1
439509,Tzolis,Arsenal,MID,120,2,0,0,,,,,,,,,,,,,,1.8104,0.8329,1.76,0.8417,,,,,,,,,,,,,,,,,,,,,,65,a,0,2,2
72147,M.Bizot,Aston Villa,GK,90,1,0,0,101.7,585.0,0.0,0.0,1.4054,0.0,0.0,90.0,0.0,0.0,1.34,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0,1.5881,0.0,0.0,13.4815,0.0,0.0,11.02,0.0,0.0,75.0,11.9305,0.0,0.0,1.34,0.0,0.0,10.0,90.0,10.0,45,a,0,1,1
101188,Digne,Aston Villa,DEF,0,0,0,0,266.8,1842.0,0.0284,0.1737,1.3973,6.1206,0.2479,216.0,0.025,0.2,1.7625,5.0,0.0,1.4247,1.4127,1.5933,1.41,0.0842,0.5148,4.1422,18.1443,0.7348,52.0526,0.67,3.28,27.79,113.0,5.0,381.0,17.559,0.060000000000000005,0.48,4.2299999999999995,12.0,0.0,31.0,216.0,12.9167,45,u,0,0,0
199796,Cash,Aston Villa,DEF,167,2,0,0,475.2,3016.0,0.0255,0.0773,1.345,5.1936,0.1307,484.0,0.0037,0.0446,1.3221,5.2066,0.186,1.4247,1.4127,1.5933,1.41,0.1347,0.4082,7.1015,27.4222,0.6899,55.4795,1.14,2.94,45.45,186.0,7.0,450.0,10.5075,0.02,0.24000000000000002,7.109999999999999,28.0,1.0,42.0,484.0,7.8099,45,a,0,2,2
149484,Mings,Aston Villa,DEF,16,0,1,0,275.2,1322.0,0.0936,0.0271,1.5628,7.2925,0.1985,360.0,0.0725,0.0125,1.4625,6.75,0.0,1.4247,1.4127,1.5933,1.41,0.2862,0.0829,4.7786,22.2987,0.607,24.2089,1.3,0.42,23.37,107.0,4.0,169.0,7.9172,0.29000000000000004,0.05,5.85,27.0,0.0,21.0,360.0,5.25,45,a,1,0,1
244954,Pau,Aston Villa,DEF,163,2,0,0,250.4,1673.0,0.1558,0.0158,1.1713,5.2388,0.0318,197.0,0.3198,0.0091,1.2518,5.0254,0.0,1.4247,1.4127,1.5933,1.41,0.4334,0.044,3.2589,14.5754,0.0884,36.5983,1.33,0.39,22.81,112.0,2.0,280.0,13.1543,0.7000000000000001,0.02,2.7399999999999998,11.0,0.0,19.0,197.0,8.6802,45,a,0,2,2
