player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
115918,Rúnarsson,Arsenal,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
223340,Saka,Arsenal,MID,2922,35,0,0,3958.0,0.2467,0.1563,0.8247,0.6139,417.0,0.3928,0.2331,0.818,0.8633,1.4643,0.8265,1.8167,0.7383,10.8505,6.873460000000001,36.2687,27.0,909.0,20.6695,1.8199999999999998,1.08,3.79,4.0,131.0,28.2734,35
462424,Saliba,Arsenal,DEF,3420,38,0,0,3315.0,0.0164,0.0163,0.641,0.4887,540.0,0.0,0.0567,0.7383,0.3333,1.4643,0.8265,1.8167,0.7383,0.6033,0.59966,23.6087,18.0,783.0,21.2579,0.0,0.33999999999999997,4.43,2.0,130.0,21.6667,38
209289,Smith Rowe,Arsenal,MID,343,3,0,0,265.0,0.326,0.1392,0.7743,0.0,104.0,0.6923,0.0433,0.1471,0.0,1.4643,0.8265,1.8167,0.7383,0.9600000000000001,0.41000000000000003,2.28,0.0,84.0,28.5283,0.8,0.05,0.16999999999999998,0.0,24.0,20.7692,3
192895,Tierney,Arsenal,DEF,0,0,0,0,774.0,0.014,0.0244,1.0291,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.12000000000000001,0.20971,8.8506,0.0,164.0,19.0698,0.0,0.0,0.0,0.0,0.0,0.0,0
223723,Tomiyasu,Arsenal,DEF,1140,10,0,0,886.0,0.0518,0.0218,0.756,0.0,115.0,0.2504,0.0391,0.493,0.0,1.4643,0.8265,1.8167,0.7383,0.51,0.21463,7.4423,0.0,224.0,22.754,0.32,0.05,0.6299999999999999,0.0,26.0,20.3478,10
116216,Trossard,Arsenal,MID,1633,18,0,0,2446.0,0.0941,0.1857,0.703,0.4047,147.0,0.2633,0.0551,0.4531,1.8367,1.4643,0.8265,1.8167,0.7383,2.5587,5.04727,19.1071,11.0,573.0,21.0834,0.43,0.09,0.74,3.0,61.0,37.3469,18
198869,White,Arsenal,DEF,2987,35,0,0,3929.0,0.0352,0.0817,0.7979,0.4352,515.0,0.0979,0.0542,0.7742,1.0485,1.4643,0.8265,1.8167,0.7383,1.5375999999999999,3.56544,34.8342,19.0,955.0,21.8758,0.5599999999999999,0.31,4.43,6.0,150.0,26.2136,35
84450,Xhaka,Arsenal,MID,0,0,0,0,2992.0,0.0954,0.0726,0.7615,0.4512,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,3.1717,2.4122,25.3159,15.0,634.0,19.0709,0.0,0.0,0.0,0.0,0.0,0.0,0
206325,Zinchenko,Arsenal,DEF,1717,20,0,0,2678.0,0.0504,0.0854,0.9025,0.4033,446.0,0.0605,0.1372,0.7668,0.8072,1.4643,0.8265,1.8167,0.7383,1.5005,2.54022,26.8548,12.0,653.0,21.9455,0.3,0.6799999999999999,3.8,4.0,125.0,25.2242,20
154561,Raya,Arsenal,GK,2880,32,0,0,3960.0,0.0025,0.0025,0.8015,0.5,540.0,0.0,0.0,0.7383,0.3333,1.4643,0.8265,1.8167,0.7383,0.11,0.1084,35.2679,22.0,949.0,21.5682,0.0,0.0,4.43,2.0,127.0,21.1667,32
204480,Rice,Arsenal,MID,3225,37,0,0,4115.0,0.043,0.0418,0.9144,0.3718,483.0,0.0596,0.0466,0.7137,0.3727,1.4643,0.8265,1.8167,0.7383,1.9659,1.91104,41.8064,17.0,813.0,17.7813,0.32,0.25,3.83,2.0,102.0,19.0062,37
200641,Nelson,Arsenal,MID,256,1,0,0,254.0,0.1701,0.3472,0.815,1.7717,51.0,0.0353,0.2294,0.9353,0.0,1.4643,0.8265,1.8167,0.7383,0.48000000000000004,0.98,2.3,5.0,141.0,49.9606,0.02,0.13,0.53,0.0,10.0,17.6471,1
445122,J.Timber,Arsenal,DEF,70,1,0,0,49.0,0.0,0.0184,0.5143,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.01,0.28,0.0,3.0,5.5102,0.0,0.0,0.0,0.0,0.0,0.0,1
463748,Hein,Arsenal,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
