date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-25,154561,Raya,6.1,116118,41725,74393,0.4034,STABLE
2026-09-25,109745,Arrizabalaga,4.9,92,223,-131,-0.0013,STABLE
2026-09-25,437495,Meslier,4.9,43,106,-63,-0.0006,STABLE
2026-09-25,226597,Gabriel,8.0,21059,60542,-39483,-0.2712,STABLE
2026-09-25,445122,J.Timber,6.5,10871,3512,7359,0.073,STABLE
2026-09-25,462424,Saliba,5.9,342,985,-643,-0.0064,STABLE
2026-09-25,499169,Lewis-Skelly,5.4,785,4627,-3842,-0.038,STABLE
2026-09-25,466075,Calafiori,5.8,67632,57091,10541,0.0524,STABLE
2026-09-25,448104,Hincapie,5.2,1288,5320,-4032,-0.0396,STABLE
2026-09-25,198869,White,5.5,3191,61510,-58319,-0.5302,STABLE
2026-09-25,500040,Mosquera,5.3,1054,8558,-7504,-0.0727,STABLE
2026-09-25,223340,Saka,9.5,92622,41902,50720,0.3987,STABLE
2026-09-25,204480,Rice,7.4,7264,71899,-64635,-0.5238,STABLE
2026-09-25,232413,Eze,6.3,1978,6183,-4205,-0.0412,STABLE
2026-09-25,184029,Ødegaard,6.8,67573,80488,-12915,-0.0925,STABLE
2026-09-25,248857,Madueke,6.2,676,1440,-764,-0.0076,STABLE
2026-09-25,195384,Merino,5.8,633,2640,-2007,-0.0199,STABLE
2026-09-25,444145,Martinelli,6.3,0,493,-493,-0.0049,STABLE
2026-09-25,481655,Zubimendi,5.3,438,3420,-2982,-0.0295,STABLE
2026-09-25,616077,Dowman,5.3,408,526,-118,-0.0012,STABLE
2026-09-25,499175,Nwaneri,5.4,0,47,-47,-0.0005,STABLE
2026-09-25,438098,Fábio Vieira,5.5,0,35,-35,-0.0003,STABLE
2026-09-25,200641,Nelson,5.5,0,17,-17,-0.0002,STABLE
2026-09-25,224117,Gyökeres,7.1,6495,15080,-8585,-0.0808,STABLE
2026-09-25,219847,Havertz,7.6,49719,47794,1925,0.0165,STABLE
2026-09-25,205651,G.Jesus,5.9,0,882,-882,-0.0088,STABLE
2026-09-25,199798,Konsa,4.6,82762,40289,42473,0.306,STABLE
2026-09-25,208706,Bruno G.,6.7,4856,6848,-1992,-0.0192,STABLE
2026-09-25,439509,Tzolis,6.3,10569,131333,-120764,-0.9708,FALLING_ALERT
