date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-01,154561,Raya,6.0,101290,108133,-6843,-0.0389,STABLE
2026-09-01,109745,Arrizabalaga,5.0,325,665,-340,-0.0034,STABLE
2026-09-01,437495,Meslier,5.0,76,246,-170,-0.0017,STABLE
2026-09-01,226597,Gabriel,8.0,26654,172970,-146316,-0.9489,FALLING_ALERT
2026-09-01,445122,J.Timber,6.5,328,1546,-1218,-0.0122,STABLE
2026-09-01,462424,Saliba,6.0,810,3713,-2903,-0.0289,STABLE
2026-09-01,499169,Lewis-Skelly,5.5,4887,6774,-1887,-0.0186,STABLE
2026-09-01,466075,Calafiori,5.6,233709,61492,172217,0.9279,RISING_ALERT
2026-09-01,448104,Hincapie,5.4,3275,19289,-16014,-0.1561,STABLE
2026-09-01,198869,White,5.5,79860,53904,25956,0.2273,STABLE
2026-09-01,500040,Mosquera,5.5,8371,45418,-37047,-0.3356,STABLE
2026-09-01,223340,Saka,9.5,55991,48706,7285,0.0603,STABLE
2026-09-01,204480,Rice,7.5,12770,128353,-115583,-0.8837,FALLING_ALERT
2026-09-01,232413,Eze,6.4,4698,21538,-16840,-0.1632,STABLE
2026-09-01,184029,Ødegaard,6.6,70486,78396,-7910,-0.0642,STABLE
2026-09-01,248857,Madueke,6.4,804,4079,-3275,-0.0326,STABLE
2026-09-01,195384,Merino,5.9,2029,8350,-6321,-0.0626,STABLE
2026-09-01,444145,Martinelli,6.4,772,3397,-2625,-0.0261,STABLE
2026-09-01,481655,Zubimendi,5.4,2554,10590,-8036,-0.0789,STABLE
2026-09-01,616077,Dowman,5.4,429,1164,-735,-0.0073,STABLE
2026-09-01,499175,Nwaneri,5.4,132,198,-66,-0.0007,STABLE
2026-09-01,438098,Fábio Vieira,5.5,139,133,6,0.0001,STABLE
2026-09-01,200641,Nelson,5.5,4,201,-197,-0.002,STABLE
2026-09-01,224117,Gyökeres,7.4,4862,98441,-93579,-0.8431,FALLING_ALERT
2026-09-01,219847,Havertz,7.5,40804,65746,-24942,-0.218,STABLE
2026-09-01,205651,G.Jesus,5.9,1929,5110,-3181,-0.0316,STABLE
2026-09-01,199798,Konsa,4.4,108671,107770,901,0.0074,STABLE
2026-09-01,208706,Bruno G.,6.9,2234,38437,-36203,-0.3461,STABLE
2026-09-01,439509,Tzolis,6.5,72352,253617,-181265,-1.2348,FALLING_LOCK
2026-09-01,72147,M.Bizot,4.5,1491,1321,170,0.0017,STABLE
2026-09-01,101188,Digne,4.5,0,1405,-1405,-0.014,STABLE
2026-09-01,199796,Cash,4.5,17584,41671,-24087,-0.2106,STABLE
2026-09-01,149484,Mings,4.5,1696,2669,-973,-0.0097,STABLE
2026-09-01,244954,Pau,4.5,1944,2214,-270,-0.0027,STABLE
2026-09-01,515597,Bogarde,5.0,553,724,-171,-0.0017,STABLE
2026-09-01,441302,Maatsen,4.5,4117,4220,-103,-0.001,STABLE
2026-09-01,184667,Lindelöf,4.5,1565,1577,-12,-0.0001,STABLE
2026-09-01,606798,A.García,4.0,8616,9344,-728,-0.007,STABLE
2026-09-01,578545,Nedeljkovic,4.0,0,2413,-2413,-0.024,STABLE
2026-09-01,195546,Buendía,6.0,6793,12097,-5304,-0.0519,STABLE
2026-09-01,215711,Bailey,5.5,719,1822,-1103,-0.011,STABLE
2026-09-01,122806,McGinn,5.5,7672,23158,-15486,-0.1472,STABLE
2026-09-01,88894,Barkley,5.0,2500,2028,472,0.0047,STABLE
2026-09-01,226944,Kamara,5.0,2702,3186,-484,-0.0048,STABLE
2026-09-01,449871,Onana,5.0,101,376,-275,-0.0027,STABLE
2026-09-01,469247,Iling Jr,5.0,0,47,-47,-0.0005,STABLE
2026-09-01,645618,Burrowes,4.5,5010,5158,-148,-0.0015,STABLE
2026-09-01,577285,George Hemmings,4.5,15857,6375,9482,0.0931,STABLE
2026-09-01,653481,Alysson,5.0,422,492,-70,-0.0007,STABLE
2026-09-01,614071,Manzambi,5.9,214,3295,-3081,-0.0307,STABLE
2026-09-01,448089,Gomes,5.5,44,710,-666,-0.0067,STABLE
2026-09-01,178301,Watkins,7.8,4250,141663,-137413,-1.2291,FALLING_LOCK
2026-09-01,173879,Abraham,5.5,1322,1543,-221,-0.0022,STABLE
2026-09-01,493105,Garnacho,5.9,1450,6572,-5122,-0.0507,STABLE
2026-09-01,517052,N.Jackson,6.5,8019,2068,5951,0.0587,STABLE
2026-09-01,690838,Madjo,5.5,571,5367,-4796,-0.0477,STABLE
2026-09-01,487992,Ruggeri,4.5,492,855,-363,-0.0036,STABLE
2026-09-01,433969,Suzuki,5.0,12191,5105,7086,0.0695,STABLE
2026-09-01,569577,Rowe,4.0,3847,939,2908,0.029,STABLE
2026-09-01,571380,Lynch,4.5,2396,1322,1074,0.0107,STABLE
2026-09-01,214590,Wan-Bissaka,4.5,3771,873,2898,0.0289,STABLE
2026-09-01,119090,Goretzka,6.0,2062,436,1626,0.0163,STABLE
2026-09-01,457569,Petrović,4.5,24649,17146,7503,0.0703,STABLE
2026-09-01,40383,Forster,4.0,18488,10436,8052,0.0755,STABLE
2026-09-01,444172,Dennis,4.0,0,1774,-1774,-0.0177,STABLE
2026-09-01,463981,Hill,5.5,3917,5774,-1857,-0.0182,STABLE
2026-09-01,494521,Truffert,5.5,7236,21030,-13794,-0.1277,STABLE
2026-09-01,242882,Diakité,5.0,1132,2430,-1298,-0.0129,STABLE
2026-09-01,620487,Milosavljević,5.0,48,149,-101,-0.001,STABLE
2026-09-01,54469,Smith,4.5,945,1058,-113,-0.0011,STABLE
2026-09-01,436893,J.Araujo,4.5,51,244,-193,-0.0019,STABLE
2026-09-01,575901,Soler,4.0,3039,1299,1740,0.0173,STABLE
2026-09-01,499604,Rayan,6.5,6385,32818,-26433,-0.2517,STABLE
2026-09-01,201658,Tavernier,6.0,16104,26071,-9967,-0.0951,STABLE
2026-09-01,503139,Scott,6.0,31751,9158,22593,0.2181,STABLE
2026-09-01,222683,Kluivert,6.0,5595,12547,-6952,-0.0679,STABLE
2026-09-01,155408,Cook,5.0,3852,2064,1788,0.0178,STABLE
2026-09-01,496208,Gannon-Doak,5.0,226,871,-645,-0.0064,STABLE
2026-09-01,200785,Adams,5.0,3337,2828,509,0.0051,STABLE
2026-09-01,111317,Brooks,5.0,695,520,175,0.0017,STABLE
2026-09-01,158499,Christie,5.0,613,294,319,0.0032,STABLE
2026-09-01,614574,Tóth.A,5.0,71,138,-67,-0.0007,STABLE
2026-09-01,489888,Adli,4.9,87,412,-325,-0.0032,STABLE
2026-09-01,560262,Kroupi.Jr,7.4,171,5296,-5125,-0.0509,STABLE
2026-09-01,444102,Evanilson,6.0,41742,22009,19733,0.1855,STABLE
2026-09-01,168636,Enes Ünal,5.5,0,327,-327,-0.0033,STABLE
2026-09-01,561245,Rodríguez,6.0,774,1091,-317,-0.0032,STABLE
2026-09-01,483067,Silva,5.0,5466,2704,2762,0.0274,STABLE
2026-09-01,494928,Sanchez,4.5,206,1279,-1073,-0.0107,STABLE
2026-09-01,523700,Jebbison,5.0,2574,1083,1491,0.0149,STABLE
2026-09-01,230650,Di Gregorio,4.5,853,255,598,0.006,STABLE
2026-09-01,200720,Kelleher,5.0,53146,28254,24892,0.2187,STABLE
2026-09-01,507433,Valdimarsson,4.5,484,740,-256,-0.0026,STABLE
2026-09-01,432830,Collins,5.5,13736,10338,3398,0.0325,STABLE
2026-09-01,444765,Van den Berg,4.9,83,1578,-1495,-0.0149,STABLE
2026-09-01,249231,Lewis-Potter,5.5,49026,12098,36928,0.3571,STABLE
2026-09-01,191866,Ajer,4.5,63045,25687,37358,0.3421,STABLE
2026-09-01,607464,Kayode,4.6,103869,40428,63441,0.5376,STABLE
2026-09-01,194010,Henry,4.5,325,1127,-802,-0.008,STABLE
2026-09-01,472713,Hickey,4.5,398,487,-89,-0.0009,STABLE
2026-09-01,570241,Ji-soo,4.5,84,159,-75,-0.0008,STABLE
2026-09-01,513086,Schuster,4.5,90,747,-657,-0.0065,STABLE
2026-09-01,513418,Schade,6.0,50442,21989,28453,0.2644,STABLE
2026-09-01,533463,O.Dango,6.5,2298,14717,-12419,-0.1218,STABLE
2026-09-01,440089,Damsgaard,5.5,1823,3936,-2113,-0.0209,STABLE
2026-09-01,207283,Jensen,5.5,527,3439,-2912,-0.029,STABLE
2026-09-01,204580,Janelt,5.0,17614,7321,10293,0.1017,STABLE
2026-09-01,543295,Milambo,5.0,19,21,-2,-0.0,STABLE
2026-09-01,244858,Carvalho,5.0,292,198,94,0.0009,STABLE
2026-09-01,508395,Yarmoliuk,5.0,502,9921,-9419,-0.0923,STABLE
2026-09-01,183656,Dasilva,5.0,99,295,-196,-0.002,STABLE
2026-09-01,444180,Anthony,6.0,931,1873,-942,-0.0094,STABLE
2026-09-01,502500,Thiago,8.0,30233,172674,-142441,-1.0991,FALLING_LOCK
2026-09-01,593174,Furo,4.5,14370,7255,7115,0.0698,STABLE
2026-09-01,75115,Wilson,5.5,3000,4025,-1025,-0.0102,STABLE
2026-09-01,513545,M.Sangaré,5.6,268043,61625,206418,1.6647,RISING_LOCK
2026-09-01,613804,Diouf,4.5,6508,1820,4688,0.0468,STABLE
2026-09-01,489639,Verbruggen,4.5,121107,72894,48213,0.3367,STABLE
2026-09-01,49262,Steele,4.0,25993,14636,11357,0.105,STABLE
2026-09-01,231416,F.Kadıoğlu,4.4,7198,16799,-9601,-0.0921,STABLE
2026-09-01,204120,Boscagli,4.5,3338,2220,1118,0.0111,STABLE
2026-09-01,465730,De Cuyper,4.7,425502,54741,370761,2.9194,RISING_LOCK
2026-09-01,83299,Dunk,4.5,10935,7489,3446,0.0337,STABLE
2026-09-01,550090,Coppola,4.5,146,163,-17,-0.0002,STABLE
2026-09-01,223434,Igor,4.5,336,600,-264,-0.0026,STABLE
2026-09-01,451490,Costinha,4.5,200,264,-64,-0.0006,STABLE
2026-09-01,454490,Svoboda,5.0,483,560,-77,-0.0008,STABLE
2026-09-01,451340,Mitoma,6.0,86,622,-536,-0.0054,STABLE
2026-09-01,592031,Minteh,5.9,64,1244,-1180,-0.0118,STABLE
2026-09-01,532529,Hinshelwood,6.0,5036,64564,-59528,-0.5768,STABLE
2026-09-01,60307,Groß,5.5,178179,49119,129060,1.0083,RISING_LOCK
2026-09-01,463067,Georginio,5.5,3171,14810,-11639,-0.1146,STABLE
2026-09-01,219249,O'Riley,5.5,586,1162,-576,-0.0057,STABLE
2026-09-01,514254,Gomez,5.0,73333,25474,47859,0.4407,STABLE
2026-09-01,536916,Buonanotte,5.0,0,65,-65,-0.0006,STABLE
2026-09-01,509416,Ayari,5.5,1318,10907,-9589,-0.0949,STABLE
2026-09-01,467779,Wieffer,5.0,8275,4521,3754,0.0372,STABLE
2026-09-01,597320,Howell,4.5,0,641,-641,-0.0064,STABLE
2026-09-01,549074,Watson,5.0,0,31,-31,-0.0003,STABLE
2026-09-01,556637,Oriola,4.5,1935,2086,-151,-0.0015,STABLE
2026-09-01,700308,Yohanna,5.0,285,861,-576,-0.0057,STABLE
2026-09-01,608181,Tzimas,5.5,43,123,-80,-0.0008,STABLE
2026-09-01,647850,Kostoulas,5.5,11847,2625,9222,0.0917,STABLE
2026-09-01,487117,Ferguson,5.0,334,446,-112,-0.0011,STABLE
2026-09-01,222694,Struijk,5.0,885,2081,-1196,-0.0119,STABLE
2026-09-01,610799,Vuskovic,5.0,12563,17423,-4860,-0.0464,STABLE
2026-09-01,538007,David,6.0,2242,3021,-779,-0.0077,STABLE
2026-09-01,612855,Osman,5.0,182,147,35,0.0003,STABLE
2026-09-01,611695,Yalcouyé,4.5,90960,12095,78865,0.7717,RISING_ALERT
2026-09-01,512123,Hadjam,4.5,1275,301,974,0.0097,STABLE
2026-09-01,519324,Cozier-Duberry,5.0,80,28,52,0.0005,STABLE
2026-09-01,98980,Martinez,5.0,39604,28608,10996,0.1011,STABLE
2026-09-01,244850,Rogers,7.5,134062,153378,-19316,-0.1281,STABLE
2026-09-01,56979,Henderson,5.0,136,469,-333,-0.0033,STABLE
2026-09-01,50175,Welbeck,5.9,4779,14614,-9835,-0.0966,STABLE
2026-09-01,215059,Sánchez,4.9,1662,42170,-40508,-0.3918,STABLE
2026-09-01,508479,Jörgensen,5.0,0,177,-177,-0.0018,STABLE
2026-09-01,225796,James,5.5,18649,114040,-95391,-0.8098,FALLING_ALERT
2026-09-01,180736,Chalobah,5.5,0,2410,-2410,-0.0241,STABLE
2026-09-01,482609,Gusto,5.0,6743,11773,-5030,-0.0491,STABLE
2026-09-01,444463,Fofana,5.0,1766,729,1037,0.0103,STABLE
2026-09-01,242880,B.Badiashile,4.5,0,494,-494,-0.0049,STABLE
2026-09-01,109646,Tosin,4.5,199,1425,-1226,-0.0122,STABLE
2026-09-01,551210,Hato,4.5,13579,5329,8250,0.0815,STABLE
2026-09-01,460028,Colwill,5.0,5395,17515,-12120,-0.1179,STABLE
2026-09-01,574458,M.Sarr,4.5,24,2305,-2281,-0.0228,STABLE
2026-09-01,577016,Acheampong,4.5,3386,3932,-546,-0.0054,STABLE
2026-09-01,620109,Palestra,5.4,452,43966,-43514,-0.4216,STABLE
2026-09-01,244851,Palmer,9.6,228289,87982,140307,1.0302,RISING_LOCK
2026-09-01,448047,Enzo,6.9,5080,85033,-79953,-0.7472,STABLE
2026-09-01,247632,Neto,6.5,13945,10743,3202,0.0312,STABLE
2026-09-01,624773,Estêvão,6.4,2372,21696,-19324,-0.1898,STABLE
2026-09-01,463936,Gittens,5.9,168,612,-444,-0.0044,STABLE
2026-09-01,486672,Caicedo,5.4,2439,55520,-53081,-0.5075,STABLE
2026-09-01,514356,Lavia,5.0,7414,1701,5713,0.057,STABLE
2026-09-01,491007,D.Essugo,4.5,1185,1818,-633,-0.0063,STABLE
2026-09-01,593117,Quenda,5.4,189,724,-535,-0.0053,STABLE
2026-09-01,475168,João Pedro,7.6,253058,68643,184415,0.7697,RISING_ALERT
2026-09-01,499309,Marc Guiu,5.0,1924,4895,-2971,-0.0295,STABLE
2026-09-01,567119,Mheuka,4.5,4345,3246,1099,0.0109,STABLE
2026-09-01,503037,Emegha,5.0,1243,1977,-734,-0.0073,STABLE
2026-09-01,437499,Lacroix,6.0,23999,79808,-55809,-0.4746,STABLE
2026-09-01,549939,Penders,4.5,215,719,-504,-0.005,STABLE
2026-09-01,622758,Anselmino,4.5,135,157,-22,-0.0002,STABLE
2026-09-01,543158,Barco,5.5,683,1085,-402,-0.004,STABLE
2026-09-01,465920,Mudryk,5.4,481,782,-301,-0.003,STABLE
2026-09-01,498444,Chavarria,5.0,425,2209,-1784,-0.0178,STABLE
2026-09-01,231065,Pinnock,4.5,327,683,-356,-0.0036,STABLE
2026-09-01,428580,Onyeka,5.0,232,1898,-1666,-0.0166,STABLE
2026-09-01,472739,Rushworth,4.5,1462,8708,-7246,-0.0709,STABLE
2026-09-01,484389,Dovin,4.0,4399,5220,-821,-0.008,STABLE
2026-09-01,110690,Wilson,4.5,119,2316,-2197,-0.0218,STABLE
2026-09-01,461102,Thomas,4.0,60815,31333,29482,0.2528,STABLE
2026-09-01,436761,Kitching,4.0,364,3236,-2872,-0.0284,STABLE
2026-09-01,451284,van Ewijk,4.0,23542,66118,-42576,-0.3417,STABLE
2026-09-01,173878,Dasilva,4.0,1308,3190,-1882,-0.0185,STABLE
2026-09-01,465390,Kesler-Hayden,4.0,59,761,-702,-0.007,STABLE
2026-09-01,80178,Bidwell,4.0,255,569,-314,-0.0031,STABLE
2026-09-01,204813,Latibeaudiere,4.0,145,243,-98,-0.001,STABLE
2026-09-01,220583,Woolfenden,4.0,350,2057,-1707,-0.017,STABLE
2026-09-01,577411,Brau,4.0,19,627,-608,-0.0061,STABLE
2026-09-01,539142,Amenda,4.0,1313,4079,-2766,-0.0272,STABLE
2026-09-01,480457,Rudoni,5.0,435,1228,-793,-0.0079,STABLE
2026-09-01,168144,Grimes,5.0,296,1772,-1476,-0.0147,STABLE
2026-09-01,501459,Sakamoto,5.0,109,881,-772,-0.0077,STABLE
2026-09-01,241293,Mason-Clark,5.5,123,1047,-924,-0.0092,STABLE
2026-09-01,439668,Eccles,4.9,311,250,61,0.0006,STABLE
2026-09-01,226965,Torp,5.5,39,1536,-1497,-0.0149,STABLE
2026-09-01,684268,Shepherd,4.5,934,2079,-1145,-0.0114,STABLE
2026-09-01,469272,Tchaouna,5.5,78,1520,-1442,-0.0144,STABLE
2026-09-01,492498,Borges Rodrigues,4.5,1028,1418,-390,-0.0039,STABLE
2026-09-01,629397,Andrews,4.5,142,11115,-10973,-0.1086,STABLE
2026-09-01,176412,Wright,5.4,82,2154,-2072,-0.0207,STABLE
2026-09-01,230730,Thomas-Asante,5.0,10374,9525,849,0.0084,STABLE
2026-09-01,218997,Simms,5.0,6459,11805,-5346,-0.0525,STABLE
2026-09-01,551262,Markelo,5.0,0,202,-202,-0.002,STABLE
2026-09-01,549653,Bassette,4.5,0,387,-387,-0.0039,STABLE
2026-09-01,210156,Awoniyi,5.5,2827,8746,-5919,-0.0583,STABLE
2026-09-01,661888,Yirenkyi,5.0,494,2175,-1681,-0.0167,STABLE
2026-09-01,196100,Hamer,5.5,110,1189,-1079,-0.0108,STABLE
2026-09-01,627221,Cherif,5.0,1357,1310,47,0.0005,STABLE
2026-09-01,79602,Bentley,4.0,6748,878,5870,0.0586,STABLE
2026-09-01,485337,Guessand,5.5,289,584,-295,-0.0029,STABLE
2026-09-01,220362,Disasi,4.5,786,570,216,0.0022,STABLE
2026-09-01,172649,Henderson,5.0,7367,10622,-3255,-0.0314,STABLE
2026-09-01,121709,Benitez,4.5,352,743,-391,-0.0039,STABLE
2026-09-01,427623,Richards,5.0,2488,6475,-3987,-0.0393,STABLE
2026-09-01,651426,Canvot,5.0,707,3123,-2416,-0.024,STABLE
2026-09-01,244723,Mitchell,4.5,4807,42476,-37669,-0.3424,STABLE
2026-09-01,218364,Sosa,4.5,75,261,-186,-0.0019,STABLE
2026-09-01,515621,Chadi Riad,4.4,104,1043,-939,-0.0094,STABLE
2026-09-01,242313,Mingueza,4.5,185,640,-455,-0.0045,STABLE
2026-09-01,232185,Sarr,6.4,169,69050,-68881,-0.6675,STABLE
2026-09-01,496221,Wharton,5.5,5671,7696,-2025,-0.0199,STABLE
2026-09-01,488024,Yeremy,5.5,2655,1285,1370,0.0136,STABLE
2026-09-01,108413,Hughes,4.5,21966,73866,-51900,-0.4325,STABLE
2026-09-01,152551,Lerma,5.0,134,974,-840,-0.0084,STABLE
2026-09-01,209400,Kamada,5.0,2413,2499,-86,-0.0009,STABLE
2026-09-01,489706,Devenny,5.0,51,134,-83,-0.0008,STABLE
2026-09-01,606921,Esse,5.0,148,462,-314,-0.0031,STABLE
2026-09-01,536694,M.França,4.9,845,695,150,0.0015,STABLE
2026-09-01,438464,Doucouré,4.9,389,775,-386,-0.0039,STABLE
2026-09-01,450542,J.Rak-Sakyi,5.0,28,61,-33,-0.0003,STABLE
2026-09-01,590014,Cardines,4.5,0,27,-27,-0.0003,STABLE
2026-09-01,672492,Drakes-Thomas,4.5,487,671,-184,-0.0018,STABLE
2026-09-01,247412,Strand Larsen,6.0,3737,4605,-868,-0.0086,STABLE
2026-09-01,231747,Mateta,6.4,967,170605,-169638,-1.5914,FALLING_LOCK
2026-09-01,205533,Nketiah,5.5,5998,4620,1378,0.0136,STABLE
2026-09-01,660392,Uche,5.0,0,0,0,0.0,STABLE
2026-09-01,433154,McNeil,5.5,238,1308,-1070,-0.0107,STABLE
2026-09-01,169593,Matthews,4.0,4594,5059,-465,-0.0045,STABLE
2026-09-01,223723,Tomiyasu,4.5,726,1824,-1098,-0.0109,STABLE
2026-09-01,570794,Khalaili,5.0,1302,626,676,0.0067,STABLE
2026-09-01,559152,Gozo,5.0,86,117,-31,-0.0003,STABLE
2026-09-01,128295,Nørgaard,5.0,70,1272,-1202,-0.012,STABLE
2026-09-01,242898,Johnson,5.9,423,1900,-1477,-0.0147,STABLE
2026-09-01,111234,Pickford,5.5,36135,41839,-5704,-0.0484,STABLE
2026-09-01,229600,Travers,5.0,171,313,-142,-0.0014,STABLE
2026-09-01,138001,King,4.5,157,274,-117,-0.0012,STABLE
2026-09-01,17761,Tarkowski,6.0,132532,41027,91505,0.7613,RISING_ALERT
2026-09-01,480455,Branthwaite,5.5,9958,10721,-763,-0.0074,STABLE
2026-09-01,106611,Keane,4.9,1358,18968,-17610,-0.172,STABLE
