date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-05,154561,Raya,6.0,13699,7692,6007,0.0339,STABLE
2026-09-05,109745,Arrizabalaga,4.9,49,66,-17,-0.0002,STABLE
2026-09-05,437495,Meslier,4.9,24,25,-1,-0.0,STABLE
2026-09-05,226597,Gabriel,8.0,2361,11715,-9354,-0.0618,STABLE
2026-09-05,445122,J.Timber,6.5,54,113,-59,-0.0006,STABLE
2026-09-05,462424,Saliba,6.0,73,324,-251,-0.0025,STABLE
2026-09-05,499169,Lewis-Skelly,5.5,489,450,39,0.0004,STABLE
2026-09-05,466075,Calafiori,5.7,24592,2707,21885,0.1143,STABLE
2026-09-05,448104,Hincapie,5.3,253,1085,-832,-0.0081,STABLE
2026-09-05,198869,White,5.5,10654,6752,3902,0.0339,STABLE
2026-09-05,500040,Mosquera,5.5,119,8366,-8247,-0.0758,STABLE
2026-09-05,223340,Saka,9.5,15532,3646,11886,0.0974,STABLE
2026-09-05,204480,Rice,7.5,1165,8032,-6867,-0.0535,STABLE
2026-09-05,232413,Eze,6.4,420,1196,-776,-0.0075,STABLE
2026-09-05,184029,Ødegaard,6.6,5599,6134,-535,-0.0044,STABLE
2026-09-05,248857,Madueke,6.3,183,220,-37,-0.0004,STABLE
2026-09-05,195384,Merino,5.9,168,538,-370,-0.0037,STABLE
2026-09-05,444145,Martinelli,6.3,0,1072,-1072,-0.0107,STABLE
2026-09-05,481655,Zubimendi,5.4,169,628,-459,-0.0045,STABLE
2026-09-05,616077,Dowman,5.4,48,78,-30,-0.0003,STABLE
2026-09-05,499175,Nwaneri,5.4,0,48,-48,-0.0005,STABLE
2026-09-05,438098,Fábio Vieira,5.5,0,38,-38,-0.0004,STABLE
2026-09-05,200641,Nelson,5.5,0,11,-11,-0.0001,STABLE
2026-09-05,224117,Gyökeres,7.3,608,5792,-5184,-0.0476,STABLE
2026-09-05,219847,Havertz,7.5,2744,6235,-3491,-0.0307,STABLE
2026-09-05,205651,G.Jesus,5.9,0,1220,-1220,-0.0122,STABLE
2026-09-05,199798,Konsa,4.4,27969,5223,22746,0.1855,STABLE
2026-09-05,208706,Bruno G.,6.8,119,2516,-2397,-0.023,STABLE
2026-09-05,439509,Tzolis,6.5,2102,33129,-31027,-0.2245,STABLE
2026-09-05,72147,M.Bizot,4.5,87,62,25,0.0002,STABLE
2026-09-05,101188,Digne,4.5,0,83,-83,-0.0008,STABLE
2026-09-05,199796,Cash,4.5,1390,2517,-1127,-0.0099,STABLE
