date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-12,154561,Raya,6.0,227823,197241,30582,0.1716,STABLE
2026-09-12,109745,Arrizabalaga,4.9,266,813,-547,-0.0055,STABLE
2026-09-12,437495,Meslier,4.9,105,295,-190,-0.0019,STABLE
2026-09-12,226597,Gabriel,8.0,50906,233824,-182918,-1.2376,FALLING_LOCK
2026-09-12,445122,J.Timber,6.5,597,1333,-736,-0.0073,STABLE
2026-09-12,462424,Saliba,5.9,722,3153,-2431,-0.0242,STABLE
2026-09-12,499169,Lewis-Skelly,5.5,6591,10334,-3743,-0.0369,STABLE
2026-09-12,466075,Calafiori,5.8,451714,85413,366301,1.8463,RISING_LOCK
2026-09-12,448104,Hincapie,5.3,3674,18155,-14481,-0.142,STABLE
2026-09-12,198869,White,5.5,113677,107915,5762,0.05,STABLE
2026-09-12,500040,Mosquera,5.4,707,183881,-183174,-1.7445,FALLING_LOCK
2026-09-12,223340,Saka,9.5,192076,135893,56183,0.456,STABLE
2026-09-12,204480,Rice,7.4,24427,141284,-116857,-0.9274,FALLING_ALERT
2026-09-12,232413,Eze,6.3,3726,27989,-24263,-0.2369,STABLE
2026-09-12,184029,Ødegaard,6.7,733260,105803,627457,4.6001,RISING_LOCK
2026-09-12,248857,Madueke,6.3,1368,4228,-2860,-0.0285,STABLE
2026-09-12,195384,Merino,5.8,1829,9414,-7585,-0.0752,STABLE
2026-09-12,444145,Martinelli,6.3,0,5983,-5983,-0.0597,STABLE
2026-09-12,481655,Zubimendi,5.4,1445,12035,-10590,-0.1044,STABLE
2026-09-12,616077,Dowman,5.3,598,1282,-684,-0.0068,STABLE
2026-09-12,499175,Nwaneri,5.4,0,325,-325,-0.0032,STABLE
2026-09-12,438098,Fábio Vieira,5.5,0,256,-256,-0.0026,STABLE
2026-09-12,200641,Nelson,5.5,0,107,-107,-0.0011,STABLE
2026-09-12,224117,Gyökeres,7.2,5898,91071,-85173,-0.793,FALLING_ALERT
2026-09-12,219847,Havertz,7.5,181374,71330,110044,0.947,RISING_ALERT
2026-09-12,205651,G.Jesus,5.9,0,7492,-7492,-0.0746,STABLE
2026-09-12,199798,Konsa,4.5,633869,89220,544649,4.0828,RISING_LOCK
2026-09-12,208706,Bruno G.,6.8,2212,35864,-33652,-0.3255,STABLE
2026-09-12,439509,Tzolis,6.4,75708,371990,-296282,-2.248,FALLING_LOCK
2026-09-12,72147,M.Bizot,4.5,969,1537,-568,-0.0057,STABLE
2026-09-12,101188,Digne,4.5,0,894,-894,-0.0089,STABLE
2026-09-12,199796,Cash,4.5,18535,87552,-69017,-0.6151,STABLE
2026-09-12,149484,Mings,4.5,4783,2329,2454,0.0243,STABLE
2026-09-12,244954,Pau,4.5,3448,5169,-1721,-0.0171,STABLE
2026-09-12,515597,Bogarde,5.0,659,1051,-392,-0.0039,STABLE
2026-09-12,441302,Maatsen,4.5,15420,6336,9084,0.0894,STABLE
2026-09-12,184667,Lindelöf,4.5,4562,1964,2598,0.0258,STABLE
2026-09-12,606798,A.García,4.0,11902,16164,-4262,-0.0412,STABLE
2026-09-12,578545,Nedeljkovic,4.0,0,2075,-2075,-0.0207,STABLE
2026-09-12,195546,Buendía,5.9,14033,20192,-6159,-0.0604,STABLE
2026-09-12,215711,Bailey,5.4,0,4523,-4523,-0.0451,STABLE
2026-09-12,122806,McGinn,5.4,18357,30749,-12392,-0.1185,STABLE
2026-09-12,88894,Barkley,5.0,4821,3469,1352,0.0134,STABLE
2026-09-12,226944,Kamara,5.0,3415,4359,-944,-0.0094,STABLE
2026-09-12,449871,Onana,5.0,103,254,-151,-0.0015,STABLE
2026-09-12,469247,Iling Jr,5.0,0,21,-21,-0.0002,STABLE
2026-09-12,645618,Burrowes,4.5,6431,8107,-1676,-0.0165,STABLE
2026-09-12,577285,George Hemmings,4.5,49164,20934,28230,0.2751,STABLE
2026-09-12,653481,Alysson,5.0,471,675,-204,-0.002,STABLE
2026-09-12,614071,Manzambi,5.9,520,1710,-1190,-0.0119,STABLE
2026-09-12,448089,Gomes,5.5,123,495,-372,-0.0037,STABLE
2026-09-12,178301,Watkins,7.8,0,119981,-119981,-1.1319,FALLING_LOCK
2026-09-12,173879,Abraham,5.5,3976,2649,1327,0.0132,STABLE
2026-09-12,493105,Garnacho,5.9,1458,8183,-6725,-0.0667,STABLE
2026-09-12,517052,N.Jackson,6.5,42368,17066,25302,0.2466,STABLE
2026-09-12,690838,Madjo,5.5,348,5432,-5084,-0.0505,STABLE
2026-09-12,487992,Ruggeri,4.5,258,1164,-906,-0.009,STABLE
2026-09-12,433969,Suzuki,5.0,76740,17146,59594,0.5741,STABLE
2026-09-12,569577,Rowe,4.0,2741,1665,1076,0.0107,STABLE
2026-09-12,571380,Lynch,4.5,0,2835,-2835,-0.0283,STABLE
2026-09-12,214590,Wan-Bissaka,4.5,3707,2090,1617,0.0161,STABLE
2026-09-12,119090,Goretzka,6.0,890,1995,-1105,-0.0111,STABLE
2026-09-12,245719,Harwood-Bellis,4.5,614,251,363,0.0036,STABLE
2026-09-12,638987,Mbaye,6.0,2664,1477,1187,0.0118,STABLE
2026-09-12,457569,Petrović,4.5,25284,34180,-8896,-0.0836,STABLE
2026-09-12,40383,Forster,4.0,35830,19223,16607,0.1549,STABLE
2026-09-12,444172,Dennis,4.0,0,1516,-1516,-0.0151,STABLE
2026-09-12,463981,Hill,5.5,7329,9797,-2468,-0.0243,STABLE
2026-09-12,494521,Truffert,5.5,11550,42880,-31330,-0.2934,STABLE
2026-09-12,242882,Diakité,5.0,1215,2519,-1304,-0.013,STABLE
2026-09-12,620487,Milosavljević,5.0,67,154,-87,-0.0009,STABLE
2026-09-12,54469,Smith,4.5,1377,1632,-255,-0.0025,STABLE
2026-09-12,436893,J.Araujo,4.4,95,214,-119,-0.0012,STABLE
2026-09-12,575901,Soler,4.0,3938,2552,1386,0.0138,STABLE
2026-09-12,499604,Rayan,6.4,7767,39079,-31312,-0.3017,STABLE
2026-09-12,201658,Tavernier,6.0,160522,46909,113613,1.0578,RISING_LOCK
2026-09-12,503139,Scott,6.1,358329,54407,303922,2.7184,RISING_LOCK
2026-09-12,222683,Kluivert,6.0,7826,19247,-11421,-0.112,STABLE
2026-09-12,155408,Cook,5.0,2004,3264,-1260,-0.0125,STABLE
2026-09-12,496208,Gannon-Doak,4.9,376,972,-596,-0.0059,STABLE
2026-09-12,200785,Adams,5.0,5281,3369,1912,0.019,STABLE
2026-09-12,111317,Brooks,5.0,720,807,-87,-0.0009,STABLE
2026-09-12,158499,Christie,5.0,1015,525,490,0.0049,STABLE
2026-09-12,614574,Tóth.A,5.0,67,194,-127,-0.0013,STABLE
2026-09-12,489888,Adli,4.9,49,313,-264,-0.0026,STABLE
2026-09-12,560262,Kroupi.Jr,7.4,189,3147,-2958,-0.0295,STABLE
2026-09-12,444102,Evanilson,6.0,44989,42152,2837,0.0266,STABLE
