date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-24,154561,Raya,6.1,110841,38464,72377,0.3925,STABLE
2026-09-24,109745,Arrizabalaga,4.9,84,198,-114,-0.0011,STABLE
2026-09-24,437495,Meslier,4.9,39,99,-60,-0.0006,STABLE
2026-09-24,226597,Gabriel,8.0,19450,57108,-37658,-0.2586,STABLE
2026-09-24,445122,J.Timber,6.5,10093,3215,6878,0.0682,STABLE
2026-09-24,462424,Saliba,5.9,307,911,-604,-0.006,STABLE
2026-09-24,499169,Lewis-Skelly,5.4,724,4418,-3694,-0.0365,STABLE
2026-09-24,466075,Calafiori,5.8,63233,53310,9923,0.0493,STABLE
2026-09-24,448104,Hincapie,5.2,1178,5034,-3856,-0.0379,STABLE
2026-09-24,198869,White,5.5,3151,57833,-54682,-0.4971,STABLE
2026-09-24,500040,Mosquera,5.3,970,7904,-6934,-0.0672,STABLE
2026-09-24,223340,Saka,9.5,84541,39189,45352,0.3571,STABLE
2026-09-24,204480,Rice,7.4,7122,64093,-56971,-0.4609,STABLE
2026-09-24,232413,Eze,6.3,1783,5759,-3976,-0.039,STABLE
2026-09-24,184029,Ødegaard,6.8,62820,76486,-13666,-0.0979,STABLE
2026-09-24,248857,Madueke,6.2,620,1356,-736,-0.0073,STABLE
2026-09-24,195384,Merino,5.8,558,2495,-1937,-0.0192,STABLE
2026-09-24,444145,Martinelli,6.3,0,459,-459,-0.0046,STABLE
2026-09-24,481655,Zubimendi,5.3,405,3207,-2802,-0.0277,STABLE
2026-09-24,616077,Dowman,5.3,373,480,-107,-0.0011,STABLE
2026-09-24,499175,Nwaneri,5.4,0,45,-45,-0.0004,STABLE
2026-09-24,438098,Fábio Vieira,5.5,0,33,-33,-0.0003,STABLE
2026-09-24,200641,Nelson,5.5,0,16,-16,-0.0002,STABLE
2026-09-24,224117,Gyökeres,7.1,4808,14010,-9202,-0.0866,STABLE
2026-09-24,219847,Havertz,7.6,48276,39497,8779,0.075,STABLE
2026-09-24,205651,G.Jesus,5.9,0,794,-794,-0.0079,STABLE
2026-09-24,199798,Konsa,4.6,78321,37662,40659,0.2929,STABLE
2026-09-24,208706,Bruno G.,6.7,4404,6399,-1995,-0.0193,STABLE
2026-09-24,439509,Tzolis,6.3,9825,127106,-117281,-0.9413,FALLING_ALERT
2026-09-24,72147,M.Bizot,4.5,48,855,-807,-0.0081,STABLE
2026-09-24,101188,Digne,4.5,0,184,-184,-0.0018,STABLE
2026-09-24,199796,Cash,4.4,2251,21955,-19704,-0.1795,STABLE
2026-09-24,149484,Mings,4.5,1393,1158,235,0.0023,STABLE
2026-09-24,244954,Pau,4.5,33,2741,-2708,-0.0269,STABLE
2026-09-24,515597,Bogarde,4.9,144,385,-241,-0.0024,STABLE
2026-09-24,441302,Maatsen,4.4,46,5378,-5332,-0.0528,STABLE
2026-09-24,184667,Lindelöf,4.5,816,1075,-259,-0.0026,STABLE
2026-09-24,606798,A.García,4.0,1546,5161,-3615,-0.0351,STABLE
2026-09-24,578545,Nedeljkovic,4.0,0,453,-453,-0.0045,STABLE
2026-09-24,195546,Buendía,5.9,10164,3365,6799,0.0667,STABLE
2026-09-24,215711,Bailey,5.4,0,403,-403,-0.004,STABLE
2026-09-24,122806,McGinn,5.4,5698,7110,-1412,-0.0135,STABLE
2026-09-24,88894,Barkley,5.0,462,1537,-1075,-0.0107,STABLE
2026-09-24,226944,Kamara,5.0,1071,1334,-263,-0.0026,STABLE
2026-09-24,449871,Onana,4.9,31,76,-45,-0.0004,STABLE
2026-09-24,469247,Iling Jr,5.0,0,9,-9,-0.0001,STABLE
2026-09-24,645618,Burrowes,4.5,530,2913,-2383,-0.0235,STABLE
2026-09-24,577285,George Hemmings,4.5,2721,8511,-5790,-0.0565,STABLE
2026-09-24,653481,Alysson,5.0,60,675,-615,-0.0062,STABLE
2026-09-24,614071,Manzambi,5.9,25150,2371,22779,0.226,STABLE
2026-09-24,448089,Gomes,5.5,369,149,220,0.0022,STABLE
2026-09-24,178301,Watkins,7.8,0,10091,-10091,-0.0961,STABLE
2026-09-24,173879,Abraham,5.5,1343,1465,-122,-0.0012,STABLE
2026-09-24,493105,Garnacho,5.8,422,2401,-1979,-0.0197,STABLE
2026-09-24,517052,N.Jackson,6.5,28760,6367,22393,0.2178,STABLE
2026-09-24,690838,Madjo,5.4,159,1566,-1407,-0.014,STABLE
2026-09-24,487992,Ruggeri,4.5,427,275,152,0.0015,STABLE
2026-09-24,433969,Suzuki,5.0,11825,5376,6449,0.0621,STABLE
2026-09-24,569577,Rowe,4.0,260,780,-520,-0.0052,STABLE
2026-09-24,571380,Lynch,4.5,0,595,-595,-0.0059,STABLE
2026-09-24,214590,Wan-Bissaka,4.5,1228,1227,1,0.0,STABLE
2026-09-24,119090,Goretzka,5.9,16,368,-352,-0.0035,STABLE
2026-09-24,245719,Harwood-Bellis,4.5,150,151,-1,-0.0,STABLE
2026-09-24,638987,Mbaye,6.0,744,1001,-257,-0.0026,STABLE
2026-09-24,481283,Wright,4.0,5731,553,5178,0.0517,STABLE
2026-09-24,457569,Petrović,4.5,4921,9081,-4160,-0.0392,STABLE
2026-09-24,40383,Forster,4.0,6971,5970,1001,0.0094,STABLE
2026-09-24,444172,Dennis,4.0,0,472,-472,-0.0047,STABLE
2026-09-24,463981,Hill,5.5,2603,2568,35,0.0003,STABLE
2026-09-24,494521,Truffert,5.4,3817,10363,-6546,-0.0618,STABLE
2026-09-24,242882,Diakité,4.9,402,831,-429,-0.0043,STABLE
2026-09-24,620487,Milosavljević,4.9,18,36,-18,-0.0002,STABLE
2026-09-24,54469,Smith,4.5,343,403,-60,-0.0006,STABLE
2026-09-24,436893,J.Araujo,4.4,27,41,-14,-0.0001,STABLE
2026-09-24,575901,Soler,4.0,638,962,-324,-0.0032,STABLE
2026-09-24,499604,Rayan,6.3,3282,8553,-5271,-0.0511,STABLE
2026-09-24,201658,Tavernier,6.1,69903,36310,33593,0.2962,STABLE
2026-09-24,503139,Scott,6.1,19084,33451,-14367,-0.129,STABLE
2026-09-24,222683,Kluivert,6.0,2275,15246,-12971,-0.1274,STABLE
2026-09-24,155408,Cook,5.0,224,994,-770,-0.0077,STABLE
2026-09-24,496208,Gannon-Doak,4.9,117,321,-204,-0.002,STABLE
2026-09-24,200785,Adams,5.0,925,1406,-481,-0.0048,STABLE
2026-09-24,111317,Brooks,5.0,151,283,-132,-0.0013,STABLE
2026-09-24,158499,Christie,5.0,251,209,42,0.0004,STABLE
2026-09-24,614574,Tóth.A,4.9,22,47,-25,-0.0003,STABLE
2026-09-24,489888,Adli,4.9,20,62,-42,-0.0004,STABLE
2026-09-24,560262,Kroupi.Jr,7.4,149,701,-552,-0.0055,STABLE
2026-09-24,444102,Evanilson,6.0,13930,18161,-4231,-0.0398,STABLE
2026-09-24,168636,Enes Ünal,5.5,0,38,-38,-0.0004,STABLE
2026-09-24,561245,Rodríguez,6.0,585,595,-10,-0.0001,STABLE
2026-09-24,483067,Silva,5.0,4376,2306,2070,0.0205,STABLE
2026-09-24,494928,Sanchez,4.4,125,359,-234,-0.0023,STABLE
2026-09-24,523700,Jebbison,5.0,724,751,-27,-0.0003,STABLE
2026-09-24,230650,Di Gregorio,4.5,159,162,-3,-0.0,STABLE
2026-09-24,200720,Kelleher,5.0,17270,10497,6773,0.0604,STABLE
2026-09-24,507433,Valdimarsson,4.5,235,278,-43,-0.0004,STABLE
2026-09-24,432830,Collins,5.4,96,7877,-7781,-0.0763,STABLE
2026-09-24,444765,Van den Berg,4.9,31,265,-234,-0.0023,STABLE
2026-09-24,249231,Lewis-Potter,5.5,3227,10608,-7381,-0.0714,STABLE
2026-09-24,191866,Ajer,4.5,9714,18921,-9207,-0.0854,STABLE
2026-09-24,607464,Kayode,4.6,11327,17914,-6587,-0.0572,STABLE
2026-09-24,194010,Henry,4.4,134,499,-365,-0.0036,STABLE
2026-09-24,472713,Hickey,4.5,150,206,-56,-0.0006,STABLE
2026-09-24,570241,Ji-soo,4.4,52,77,-25,-0.0003,STABLE
2026-09-24,513086,Schuster,4.5,13526,1648,11878,0.1181,STABLE
2026-09-24,513418,Schade,6.2,340735,18529,322206,2.641,RISING_LOCK
2026-09-24,533463,O.Dango,6.3,655,3110,-2455,-0.0243,STABLE
2026-09-24,440089,Damsgaard,5.4,1252,1756,-504,-0.005,STABLE
2026-09-24,207283,Jensen,5.4,14,528,-514,-0.0051,STABLE
2026-09-24,204580,Janelt,5.0,16829,15350,1479,0.0141,STABLE
2026-09-24,543295,Milambo,5.0,6,6,0,0.0,STABLE
