date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-18,154561,Raya,6.0,197470,39060,158410,0.8723,RISING_ALERT
2026-09-18,109745,Arrizabalaga,4.9,132,428,-296,-0.003,STABLE
2026-09-18,437495,Meslier,4.9,57,155,-98,-0.001,STABLE
2026-09-18,226597,Gabriel,8.0,32964,75657,-42693,-0.2912,STABLE
2026-09-18,445122,J.Timber,6.5,13649,2427,11222,0.1118,STABLE
2026-09-18,462424,Saliba,5.9,338,1642,-1304,-0.013,STABLE
2026-09-18,499169,Lewis-Skelly,5.5,2423,7900,-5477,-0.0541,STABLE
2026-09-18,466075,Calafiori,5.8,187547,49721,137826,0.6878,STABLE
2026-09-18,448104,Hincapie,5.3,1996,12189,-10193,-0.1001,STABLE
2026-09-18,198869,White,5.5,17655,153064,-135409,-1.2047,FALLING_LOCK
2026-09-18,500040,Mosquera,5.3,140,61082,-60942,-0.5871,STABLE
2026-09-18,223340,Saka,9.5,128138,40680,87458,0.6997,STABLE
2026-09-18,204480,Rice,7.4,20355,56844,-36489,-0.2914,STABLE
2026-09-18,232413,Eze,6.3,2323,13370,-11047,-0.1081,STABLE
2026-09-18,184029,Ødegaard,6.7,222612,82773,139839,1.006,RISING_LOCK
2026-09-18,248857,Madueke,6.2,831,2799,-1968,-0.0196,STABLE
2026-09-18,195384,Merino,5.8,1023,5020,-3997,-0.0397,STABLE
2026-09-18,444145,Martinelli,6.3,0,1202,-1202,-0.012,STABLE
2026-09-18,481655,Zubimendi,5.3,1151,6775,-5624,-0.0556,STABLE
2026-09-18,616077,Dowman,5.3,674,837,-163,-0.0016,STABLE
2026-09-18,499175,Nwaneri,5.4,0,90,-90,-0.0009,STABLE
2026-09-18,438098,Fábio Vieira,5.5,0,69,-69,-0.0007,STABLE
2026-09-18,200641,Nelson,5.5,0,47,-47,-0.0005,STABLE
2026-09-18,224117,Gyökeres,7.2,2939,40437,-37498,-0.3518,STABLE
2026-09-18,219847,Havertz,7.6,65644,69405,-3761,-0.0325,STABLE
2026-09-18,205651,G.Jesus,5.9,0,1841,-1841,-0.0183,STABLE
2026-09-18,199798,Konsa,4.5,223328,40126,183202,1.3412,RISING_LOCK
2026-09-18,208706,Bruno G.,6.7,12252,6889,5363,0.0518,STABLE
2026-09-18,439509,Tzolis,6.4,25909,181741,-155832,-1.2118,FALLING_LOCK
2026-09-18,72147,M.Bizot,4.5,369,902,-533,-0.0053,STABLE
2026-09-18,101188,Digne,4.5,0,336,-336,-0.0034,STABLE
2026-09-18,199796,Cash,4.4,1215,90825,-89610,-0.8117,FALLING_ALERT
2026-09-18,149484,Mings,4.5,2145,3450,-1305,-0.0129,STABLE
2026-09-18,244954,Pau,4.5,216,5822,-5606,-0.0556,STABLE
2026-09-18,515597,Bogarde,5.0,380,712,-332,-0.0033,STABLE
2026-09-18,441302,Maatsen,4.5,521,18769,-18248,-0.18,STABLE
2026-09-18,184667,Lindelöf,4.5,2134,2322,-188,-0.0019,STABLE
2026-09-18,606798,A.García,4.0,5485,9984,-4499,-0.0436,STABLE
2026-09-18,578545,Nedeljkovic,4.0,0,887,-887,-0.0089,STABLE
2026-09-18,195546,Buendía,5.9,3603,14141,-10538,-0.1035,STABLE
2026-09-18,215711,Bailey,5.4,0,1234,-1234,-0.0123,STABLE
2026-09-18,122806,McGinn,5.4,11832,14923,-3091,-0.0296,STABLE
2026-09-18,88894,Barkley,5.0,1635,2644,-1009,-0.01,STABLE
2026-09-18,226944,Kamara,5.0,1447,3296,-1849,-0.0184,STABLE
2026-09-18,449871,Onana,4.9,42,162,-120,-0.0012,STABLE
2026-09-18,469247,Iling Jr,5.0,0,18,-18,-0.0002,STABLE
2026-09-18,645618,Burrowes,4.5,1550,5123,-3573,-0.0353,STABLE
2026-09-18,577285,George Hemmings,4.5,10099,11102,-1003,-0.0098,STABLE
2026-09-18,653481,Alysson,5.0,1150,408,742,0.0074,STABLE
2026-09-18,614071,Manzambi,5.9,1330,741,589,0.0059,STABLE
2026-09-18,448089,Gomes,5.5,377,208,169,0.0017,STABLE
2026-09-18,178301,Watkins,7.8,0,25925,-25925,-0.246,STABLE
2026-09-18,173879,Abraham,5.5,1972,1926,46,0.0005,STABLE
2026-09-18,493105,Garnacho,5.8,632,5254,-4622,-0.0459,STABLE
2026-09-18,517052,N.Jackson,6.5,9828,22917,-13089,-0.1278,STABLE
2026-09-18,690838,Madjo,5.4,198,2989,-2791,-0.0278,STABLE
2026-09-18,487992,Ruggeri,4.5,389,831,-442,-0.0044,STABLE
2026-09-18,433969,Suzuki,5.0,10901,12086,-1185,-0.0114,STABLE
2026-09-18,569577,Rowe,4.0,1367,1222,145,0.0014,STABLE
2026-09-18,571380,Lynch,4.5,0,1087,-1087,-0.0108,STABLE
2026-09-18,214590,Wan-Bissaka,4.5,3275,1498,1777,0.0177,STABLE
2026-09-18,119090,Goretzka,5.9,34,1140,-1106,-0.0111,STABLE
2026-09-18,245719,Harwood-Bellis,4.5,229,263,-34,-0.0003,STABLE
2026-09-18,638987,Mbaye,6.0,1621,968,653,0.0065,STABLE
2026-09-18,457569,Petrović,4.5,4613,17235,-12622,-0.1189,STABLE
2026-09-18,40383,Forster,4.0,14982,9976,5006,0.0468,STABLE
2026-09-18,444172,Dennis,4.0,0,726,-726,-0.0072,STABLE
2026-09-18,463981,Hill,5.5,2294,7251,-4957,-0.0488,STABLE
2026-09-18,494521,Truffert,5.5,4237,21741,-17504,-0.1645,STABLE
2026-09-18,242882,Diakité,5.0,687,1698,-1011,-0.0101,STABLE
2026-09-18,620487,Milosavljević,4.9,42,71,-29,-0.0003,STABLE
2026-09-18,54469,Smith,4.5,576,1336,-760,-0.0076,STABLE
2026-09-18,436893,J.Araujo,4.4,59,117,-58,-0.0006,STABLE
2026-09-18,575901,Soler,4.0,1725,1729,-4,-0.0,STABLE
2026-09-18,499604,Rayan,6.4,2671,24474,-21803,-0.2109,STABLE
2026-09-18,201658,Tavernier,6.1,219287,34205,185082,1.6584,RISING_LOCK
2026-09-18,503139,Scott,6.1,53285,51803,1482,0.0133,STABLE
2026-09-18,222683,Kluivert,6.0,9164,6634,2530,0.0248,STABLE
2026-09-18,155408,Cook,5.0,597,2645,-2048,-0.0204,STABLE
2026-09-18,496208,Gannon-Doak,4.9,226,562,-336,-0.0034,STABLE
2026-09-18,200785,Adams,5.0,2242,2897,-655,-0.0065,STABLE
2026-09-18,111317,Brooks,5.0,344,638,-294,-0.0029,STABLE
2026-09-18,158499,Christie,5.0,409,447,-38,-0.0004,STABLE
2026-09-18,614574,Tóth.A,4.9,39,94,-55,-0.0006,STABLE
2026-09-18,489888,Adli,4.9,19,165,-146,-0.0015,STABLE
2026-09-18,560262,Kroupi.Jr,7.4,102,1336,-1234,-0.0123,STABLE
2026-09-18,444102,Evanilson,6.0,29476,28815,661,0.0062,STABLE
2026-09-18,168636,Enes Ünal,5.5,0,88,-88,-0.0009,STABLE
2026-09-18,561245,Rodríguez,6.0,599,979,-380,-0.0038,STABLE
2026-09-18,483067,Silva,5.0,1415,3704,-2289,-0.0227,STABLE
2026-09-18,494928,Sanchez,4.4,220,901,-681,-0.0068,STABLE
2026-09-18,523700,Jebbison,5.0,1429,1461,-32,-0.0003,STABLE
2026-09-18,230650,Di Gregorio,4.5,265,401,-136,-0.0014,STABLE
2026-09-18,200720,Kelleher,5.0,6672,42493,-35821,-0.3187,STABLE
2026-09-18,507433,Valdimarsson,4.5,218,602,-384,-0.0038,STABLE
2026-09-18,432830,Collins,5.4,84,27402,-27318,-0.2673,STABLE
2026-09-18,444765,Van den Berg,4.9,23,561,-538,-0.0054,STABLE
2026-09-18,249231,Lewis-Potter,5.5,4221,28560,-24339,-0.2345,STABLE
2026-09-18,191866,Ajer,4.5,6494,40786,-34292,-0.3163,STABLE
2026-09-18,607464,Kayode,4.6,13598,95307,-81709,-0.7044,STABLE
2026-09-18,194010,Henry,4.4,301,1141,-840,-0.0084,STABLE
2026-09-18,472713,Hickey,4.5,228,433,-205,-0.002,STABLE
2026-09-18,570241,Ji-soo,4.5,49,118,-69,-0.0007,STABLE
2026-09-18,513086,Schuster,4.5,222,547,-325,-0.0032,STABLE
2026-09-18,513418,Schade,6.1,287291,33753,253538,2.2437,RISING_LOCK
2026-09-18,533463,O.Dango,6.3,544,9154,-8610,-0.0852,STABLE
2026-09-18,440089,Damsgaard,5.5,935,5140,-4205,-0.0417,STABLE
2026-09-18,207283,Jensen,5.4,11,1195,-1184,-0.0118,STABLE
2026-09-18,204580,Janelt,5.0,30063,21659,8404,0.08,STABLE
2026-09-18,543295,Milambo,5.0,11,21,-10,-0.0001,STABLE
2026-09-18,244858,Carvalho,5.0,180,249,-69,-0.0007,STABLE
2026-09-18,508395,Yarmoliuk,4.8,1107,5803,-4696,-0.0463,STABLE
2026-09-18,183656,Dasilva,4.9,5,195,-190,-0.0019,STABLE
2026-09-18,444180,Anthony,5.9,386,1462,-1076,-0.0107,STABLE
2026-09-18,502500,Thiago,7.9,9707,147203,-137496,-1.1593,FALLING_LOCK
2026-09-18,593174,Furo,4.5,5914,13211,-7297,-0.0715,STABLE
2026-09-18,75115,Wilson,5.5,1071,4246,-3175,-0.0316,STABLE
2026-09-18,513545,M.Sangaré,5.7,20178,131414,-111236,-0.9,FALLING_ALERT
2026-09-18,613804,Diouf,4.5,799,1226,-427,-0.0043,STABLE
2026-09-18,626464,Nunes,4.5,1484,333,1151,0.0115,STABLE
2026-09-18,489639,Verbruggen,4.5,59572,83581,-24009,-0.1672,STABLE
2026-09-18,49262,Steele,4.0,12750,13997,-1247,-0.0115,STABLE
2026-09-18,231416,F.Kadıoğlu,4.4,3064,10932,-7868,-0.0761,STABLE
2026-09-18,204120,Boscagli,4.5,946,1566,-620,-0.0062,STABLE
2026-09-18,465730,De Cuyper,4.9,293140,72653,220487,1.4878,RISING_LOCK
2026-09-18,83299,Dunk,4.5,19949,7156,12793,0.1242,STABLE
2026-09-18,550090,Coppola,4.5,145,165,-20,-0.0002,STABLE
2026-09-18,223434,Igor,4.5,0,639,-639,-0.0064,STABLE
2026-09-18,451490,Costinha,4.5,148,217,-69,-0.0007,STABLE
2026-09-18,454490,Svoboda,5.0,508,714,-206,-0.0021,STABLE
2026-09-18,451340,Mitoma,5.9,46,225,-179,-0.0018,STABLE
2026-09-18,592031,Minteh,5.9,22,373,-351,-0.0035,STABLE
2026-09-18,532529,Hinshelwood,5.9,97,20091,-19994,-0.1972,STABLE
2026-09-18,60307,Groß,5.7,403429,60989,342440,2.4601,RISING_LOCK
2026-09-18,463067,Georginio,5.4,1202,8456,-7254,-0.0718,STABLE
2026-09-18,219249,O'Riley,5.4,430,929,-499,-0.005,STABLE
2026-09-18,514254,Gomez,5.0,9286,46886,-37600,-0.345,STABLE
2026-09-18,536916,Buonanotte,5.0,0,13,-13,-0.0001,STABLE
2026-09-18,509416,Ayari,5.4,2479,2735,-256,-0.0025,STABLE
2026-09-18,467779,Wieffer,4.9,41,5110,-5069,-0.0505,STABLE
2026-09-18,597320,Howell,4.5,0,298,-298,-0.003,STABLE
2026-09-18,549074,Watson,5.0,0,7,-7,-0.0001,STABLE
2026-09-18,556637,Oriola,4.5,731,2058,-1327,-0.0132,STABLE
2026-09-18,700308,Yohanna,4.9,25,844,-819,-0.0082,STABLE
2026-09-18,608181,Tzimas,5.4,41,62,-21,-0.0002,STABLE
2026-09-18,647850,Kostoulas,5.5,33114,8818,24296,0.2391,STABLE
2026-09-18,487117,Ferguson,5.0,184,298,-114,-0.0011,STABLE
2026-09-18,222694,Struijk,4.9,466,1787,-1321,-0.0132,STABLE
2026-09-18,610799,Vuskovic,5.0,20566,21685,-1119,-0.0105,STABLE
2026-09-18,538007,David,6.0,1443,3565,-2122,-0.0211,STABLE
2026-09-18,612855,Osman,5.0,113,160,-47,-0.0005,STABLE
2026-09-18,611695,Yalcouyé,4.5,85421,26471,58950,0.5479,STABLE
2026-09-18,512123,Hadjam,4.5,292,514,-222,-0.0022,STABLE
2026-09-18,519324,Cozier-Duberry,5.0,0,9,-9,-0.0001,STABLE
2026-09-18,592984,Andrés,5.5,340,165,175,0.0018,STABLE
2026-09-18,471551,Azeez,5.5,49,36,13,0.0001,STABLE
2026-09-18,661016,Ibrahim,4.5,946,189,757,0.0076,STABLE
2026-09-18,98980,Martinez,5.0,14658,39274,-24616,-0.2242,STABLE
2026-09-18,244850,Rogers,7.7,467279,38583,428696,2.4275,RISING_LOCK
2026-09-18,56979,Henderson,4.9,28,334,-306,-0.0031,STABLE
2026-09-18,50175,Welbeck,5.9,6420,8427,-2007,-0.0198,STABLE
2026-09-18,215059,Sánchez,4.9,0,10734,-10734,-0.1056,STABLE
2026-09-18,508479,Jörgensen,5.0,0,42,-42,-0.0004,STABLE
2026-09-18,225796,James,5.4,14820,77847,-63027,-0.5519,STABLE
2026-09-18,180736,Chalobah,5.5,0,547,-547,-0.0055,STABLE
2026-09-18,482609,Gusto,5.0,3034,10173,-7139,-0.07,STABLE
2026-09-18,444463,Fofana,5.0,2201,2323,-122,-0.0012,STABLE
2026-09-18,242880,B.Badiashile,4.5,0,101,-101,-0.001,STABLE
2026-09-18,551210,Hato,4.5,3410,14378,-10968,-0.1077,STABLE
2026-09-18,460028,Colwill,4.9,1373,13074,-11701,-0.1147,STABLE
2026-09-18,574458,M.Sarr,4.5,0,313,-313,-0.0031,STABLE
2026-09-18,577016,Acheampong,4.5,1038,4322,-3284,-0.0326,STABLE
2026-09-18,620109,Palestra,5.3,142,13950,-13808,-0.1362,STABLE
2026-09-18,244851,Palmer,9.7,114501,107302,7199,0.0469,STABLE
2026-09-18,247632,Neto,6.5,9800,15084,-5284,-0.0514,STABLE
2026-09-18,624773,Estêvão,6.3,2053,7747,-5694,-0.0562,STABLE
2026-09-18,463936,Gittens,5.9,137,318,-181,-0.0018,STABLE
2026-09-18,486672,Caicedo,5.3,454,23548,-23094,-0.2255,STABLE
2026-09-18,514356,Lavia,5.0,1955,3170,-1215,-0.0121,STABLE
2026-09-18,491007,D.Essugo,4.5,0,1454,-1454,-0.0145,STABLE
2026-09-18,593117,Quenda,5.3,117,410,-293,-0.0029,STABLE
2026-09-18,475168,João Pedro,7.8,223455,106669,116786,0.4694,STABLE
2026-09-18,499309,Marc Guiu,5.0,0,2763,-2763,-0.0275,STABLE
2026-09-18,567119,Mheuka,4.5,5649,4081,1568,0.0156,STABLE
2026-09-18,503037,Emegha,5.0,91,2179,-2088,-0.0208,STABLE
2026-09-18,437499,Lacroix,6.0,6266,85865,-79599,-0.6958,STABLE
2026-09-18,549939,Penders,4.4,526,473,53,0.0005,STABLE
2026-09-18,622758,Anselmino,4.5,152,158,-6,-0.0001,STABLE
2026-09-18,543158,Barco,5.4,352,986,-634,-0.0063,STABLE
2026-09-18,498444,Chavarria,4.9,317,1180,-863,-0.0086,STABLE
