date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-09,154561,Raya,6.0,128304,103550,24754,0.1392,STABLE
2026-09-09,109745,Arrizabalaga,4.9,203,535,-332,-0.0033,STABLE
2026-09-09,437495,Meslier,4.9,78,192,-114,-0.0011,STABLE
2026-09-09,226597,Gabriel,8.0,30903,133281,-102378,-0.6843,STABLE
2026-09-09,445122,J.Timber,6.5,430,925,-495,-0.0049,STABLE
2026-09-09,462424,Saliba,5.9,574,2422,-1848,-0.0184,STABLE
2026-09-09,499169,Lewis-Skelly,5.5,4588,6060,-1472,-0.0145,STABLE
2026-09-09,466075,Calafiori,5.7,267080,46780,220300,1.1274,RISING_LOCK
2026-09-09,448104,Hincapie,5.3,2381,11800,-9419,-0.0922,STABLE
2026-09-09,198869,White,5.5,69066,61217,7849,0.0681,STABLE
2026-09-09,500040,Mosquera,5.4,582,96786,-96204,-0.9008,FALLING_ALERT
2026-09-09,223340,Saka,9.5,111644,66333,45311,0.369,STABLE
2026-09-09,204480,Rice,7.4,15579,79563,-63984,-0.503,STABLE
2026-09-09,232413,Eze,6.4,2671,17964,-15293,-0.1491,STABLE
2026-09-09,184029,Ødegaard,6.6,276646,56668,219978,1.7267,RISING_LOCK
2026-09-09,248857,Madueke,6.3,1075,2697,-1622,-0.0162,STABLE
2026-09-09,195384,Merino,5.9,1284,6657,-5373,-0.0532,STABLE
2026-09-09,444145,Martinelli,6.3,0,4731,-4731,-0.0472,STABLE
2026-09-09,481655,Zubimendi,5.4,1105,7373,-6268,-0.0618,STABLE
2026-09-09,616077,Dowman,5.3,395,845,-450,-0.0045,STABLE
2026-09-09,499175,Nwaneri,5.4,0,248,-248,-0.0025,STABLE
2026-09-09,438098,Fábio Vieira,5.5,0,202,-202,-0.002,STABLE
2026-09-09,200641,Nelson,5.5,0,73,-73,-0.0007,STABLE
2026-09-09,224117,Gyökeres,7.3,4241,55464,-51223,-0.4743,STABLE
2026-09-09,219847,Havertz,7.5,105496,40534,64962,0.5649,STABLE
2026-09-09,205651,G.Jesus,5.9,0,5894,-5894,-0.0587,STABLE
2026-09-09,199798,Konsa,4.4,290407,53800,236607,1.866,RISING_LOCK
