date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-08,154561,Raya,6.0,108430,85760,22670,0.1276,STABLE
2026-09-08,109745,Arrizabalaga,4.9,190,470,-280,-0.0028,STABLE
2026-09-08,437495,Meslier,4.9,69,174,-105,-0.001,STABLE
2026-09-08,226597,Gabriel,8.0,26036,114940,-88904,-0.5935,STABLE
2026-09-08,445122,J.Timber,6.5,368,809,-441,-0.0044,STABLE
2026-09-08,462424,Saliba,6.0,508,2117,-1609,-0.016,STABLE
2026-09-08,499169,Lewis-Skelly,5.5,4039,5166,-1127,-0.0111,STABLE
2026-09-08,466075,Calafiori,5.7,229961,39528,190433,0.9776,RISING_ALERT
2026-09-08,448104,Hincapie,5.3,2101,10274,-8173,-0.08,STABLE
2026-09-08,198869,White,5.5,61150,52726,8424,0.0731,STABLE
2026-09-08,500040,Mosquera,5.4,544,83877,-83333,-0.7774,FALLING_ALERT
2026-09-08,223340,Saka,9.5,96206,54003,42203,0.3437,STABLE
2026-09-08,204480,Rice,7.4,13520,68601,-55081,-0.4323,STABLE
2026-09-08,232413,Eze,6.4,2401,15684,-13283,-0.1295,STABLE
2026-09-08,184029,Ødegaard,6.6,223351,46919,176432,1.398,RISING_LOCK
2026-09-08,248857,Madueke,6.3,962,2350,-1388,-0.0138,STABLE
2026-09-08,195384,Merino,5.9,1135,5818,-4683,-0.0464,STABLE
2026-09-08,444145,Martinelli,6.3,0,4297,-4297,-0.0429,STABLE
2026-09-08,481655,Zubimendi,5.4,1003,6426,-5423,-0.0535,STABLE
2026-09-08,616077,Dowman,5.3,323,725,-402,-0.004,STABLE
2026-09-08,499175,Nwaneri,5.4,0,223,-223,-0.0022,STABLE
2026-09-08,438098,Fábio Vieira,5.5,0,180,-180,-0.0018,STABLE
2026-09-08,200641,Nelson,5.5,0,59,-59,-0.0006,STABLE
2026-09-08,224117,Gyökeres,7.3,3793,48197,-44404,-0.4104,STABLE
2026-09-08,219847,Havertz,7.5,88359,34997,53362,0.4648,STABLE
2026-09-08,205651,G.Jesus,5.9,0,5333,-5333,-0.0531,STABLE
2026-09-08,199798,Konsa,4.4,245849,46265,199584,1.584,RISING_LOCK
2026-09-08,208706,Bruno G.,6.8,1092,20082,-18990,-0.1829,STABLE
2026-09-08,439509,Tzolis,6.4,34383,194139,-159756,-1.1816,FALLING_LOCK
2026-09-08,72147,M.Bizot,4.5,524,850,-326,-0.0033,STABLE
2026-09-08,101188,Digne,4.5,0,580,-580,-0.0058,STABLE
2026-09-08,199796,Cash,4.5,14290,22585,-8295,-0.0729,STABLE
2026-09-08,149484,Mings,4.5,1451,1122,329,0.0033,STABLE
2026-09-08,244954,Pau,4.5,657,2829,-2172,-0.0215,STABLE
2026-09-08,515597,Bogarde,5.0,371,619,-248,-0.0025,STABLE
2026-09-08,441302,Maatsen,4.5,4447,2659,1788,0.0176,STABLE
2026-09-08,184667,Lindelöf,4.5,1364,903,461,0.0046,STABLE
2026-09-08,606798,A.García,4.0,6934,8960,-2026,-0.0196,STABLE
2026-09-08,578545,Nedeljkovic,4.0,0,1172,-1172,-0.0117,STABLE
2026-09-08,195546,Buendía,5.9,4051,10605,-6554,-0.0643,STABLE
2026-09-08,215711,Bailey,5.4,0,3028,-3028,-0.0302,STABLE
2026-09-08,122806,McGinn,5.4,6024,15893,-9869,-0.0943,STABLE
2026-09-08,88894,Barkley,5.0,2371,1633,738,0.0073,STABLE
2026-09-08,226944,Kamara,5.0,1863,2311,-448,-0.0045,STABLE
2026-09-08,449871,Onana,5.0,56,157,-101,-0.001,STABLE
2026-09-08,469247,Iling Jr,5.0,0,13,-13,-0.0001,STABLE
2026-09-08,645618,Burrowes,4.5,3962,4204,-242,-0.0024,STABLE
2026-09-08,577285,George Hemmings,4.5,21977,8919,13058,0.1278,STABLE
2026-09-08,653481,Alysson,5.0,238,352,-114,-0.0011,STABLE
2026-09-08,614071,Manzambi,5.9,225,1075,-850,-0.0085,STABLE
2026-09-08,448089,Gomes,5.5,44,278,-234,-0.0023,STABLE
2026-09-08,178301,Watkins,7.8,0,79253,-79253,-0.7421,STABLE
2026-09-08,173879,Abraham,5.5,2345,1418,927,0.0092,STABLE
2026-09-08,493105,Garnacho,5.9,866,4636,-3770,-0.0374,STABLE
2026-09-08,517052,N.Jackson,6.5,13333,8603,4730,0.0463,STABLE
2026-09-08,690838,Madjo,5.5,215,2840,-2625,-0.0261,STABLE
2026-09-08,487992,Ruggeri,4.5,121,629,-508,-0.0051,STABLE
2026-09-08,433969,Suzuki,5.0,33793,5981,27812,0.27,STABLE
2026-09-08,569577,Rowe,4.0,1566,962,604,0.006,STABLE
2026-09-08,571380,Lynch,4.5,0,2000,-2000,-0.02,STABLE
2026-09-08,214590,Wan-Bissaka,4.5,1380,1150,230,0.0023,STABLE
2026-09-08,119090,Goretzka,6.0,755,884,-129,-0.0013,STABLE
2026-09-08,245719,Harwood-Bellis,4.5,370,133,237,0.0024,STABLE
2026-09-08,638987,Mbaye,6.0,1818,701,1117,0.0111,STABLE
2026-09-08,457569,Petrović,4.5,12841,16178,-3337,-0.0313,STABLE
2026-09-08,40383,Forster,4.0,16109,8415,7694,0.072,STABLE
2026-09-08,444172,Dennis,4.0,0,843,-843,-0.0084,STABLE
2026-09-08,463981,Hill,5.5,3104,5003,-1899,-0.0187,STABLE
2026-09-08,494521,Truffert,5.5,4804,23364,-18560,-0.1735,STABLE
2026-09-08,242882,Diakité,5.0,648,1565,-917,-0.0091,STABLE
2026-09-08,620487,Milosavljević,5.0,36,82,-46,-0.0005,STABLE
2026-09-08,54469,Smith,4.5,563,835,-272,-0.0027,STABLE
2026-09-08,436893,J.Araujo,4.4,54,126,-72,-0.0007,STABLE
2026-09-08,575901,Soler,4.0,2069,1391,678,0.0067,STABLE
2026-09-08,499604,Rayan,6.4,3684,21573,-17889,-0.1717,STABLE
2026-09-08,201658,Tavernier,6.0,79761,17362,62399,0.5876,STABLE
2026-09-08,503139,Scott,6.0,180224,19708,160516,1.4835,RISING_LOCK
2026-09-08,222683,Kluivert,6.0,3916,10181,-6265,-0.0614,STABLE
2026-09-08,155408,Cook,5.0,1196,1754,-558,-0.0056,STABLE
2026-09-08,496208,Gannon-Doak,4.9,175,539,-364,-0.0036,STABLE
2026-09-08,200785,Adams,5.0,3069,1816,1253,0.0125,STABLE
2026-09-08,111317,Brooks,5.0,374,404,-30,-0.0003,STABLE
2026-09-08,158499,Christie,5.0,278,256,22,0.0002,STABLE
2026-09-08,614574,Tóth.A,5.0,46,115,-69,-0.0007,STABLE
2026-09-08,489888,Adli,4.9,30,162,-132,-0.0013,STABLE
2026-09-08,560262,Kroupi.Jr,7.4,100,1971,-1871,-0.0186,STABLE
2026-09-08,444102,Evanilson,6.0,23031,21585,1446,0.0136,STABLE
2026-09-08,168636,Enes Ünal,5.5,0,140,-140,-0.0014,STABLE
2026-09-08,561245,Rodríguez,6.0,669,908,-239,-0.0024,STABLE
2026-09-08,483067,Silva,5.0,1860,2520,-660,-0.0065,STABLE
2026-09-08,494928,Sanchez,4.5,135,807,-672,-0.0067,STABLE
2026-09-08,523700,Jebbison,5.0,1816,920,896,0.0089,STABLE
2026-09-08,230650,Di Gregorio,4.5,408,278,130,0.0013,STABLE
2026-09-08,200720,Kelleher,5.0,16780,26086,-9306,-0.0819,STABLE
2026-09-08,507433,Valdimarsson,4.5,283,484,-201,-0.002,STABLE
2026-09-08,432830,Collins,5.5,1159,34942,-33783,-0.3261,STABLE
2026-09-08,444765,Van den Berg,4.9,33,736,-703,-0.007,STABLE
2026-09-08,249231,Lewis-Potter,5.5,14031,14585,-554,-0.0053,STABLE
2026-09-08,191866,Ajer,4.5,23794,41895,-18101,-0.1649,STABLE
2026-09-08,607464,Kayode,4.6,23929,55185,-31256,-0.2644,STABLE
2026-09-08,194010,Henry,4.5,171,979,-808,-0.008,STABLE
2026-09-08,472713,Hickey,4.5,156,354,-198,-0.002,STABLE
2026-09-08,570241,Ji-soo,4.5,50,125,-75,-0.0008,STABLE
2026-09-08,513086,Schuster,4.5,146,326,-180,-0.0018,STABLE
2026-09-08,513418,Schade,6.0,14198,37262,-23064,-0.2136,STABLE
2026-09-08,533463,O.Dango,6.4,646,10528,-9882,-0.0975,STABLE
2026-09-08,440089,Damsgaard,5.5,2557,1867,690,0.0068,STABLE
2026-09-08,207283,Jensen,5.5,17,2259,-2242,-0.0224,STABLE
2026-09-08,204580,Janelt,5.0,69223,11996,57227,0.5567,STABLE
2026-09-08,543295,Milambo,5.0,12,21,-9,-0.0001,STABLE
2026-09-08,244858,Carvalho,5.0,211,193,18,0.0002,STABLE
2026-09-08,508395,Yarmoliuk,4.9,423,7469,-7046,-0.0694,STABLE
2026-09-08,183656,Dasilva,5.0,17,350,-333,-0.0033,STABLE
2026-09-08,444180,Anthony,6.0,360,1243,-883,-0.0088,STABLE
2026-09-08,502500,Thiago,7.9,10896,157598,-146702,-1.1812,FALLING_LOCK
2026-09-08,593174,Furo,4.5,10399,6968,3431,0.0336,STABLE
2026-09-08,75115,Wilson,5.5,1527,3031,-1504,-0.0149,STABLE
2026-09-08,513545,M.Sangaré,5.7,65853,143184,-77331,-0.6013,STABLE
2026-09-08,613804,Diouf,4.5,908,1133,-225,-0.0022,STABLE
2026-09-08,489639,Verbruggen,4.5,94709,75254,19455,0.1347,STABLE
2026-09-08,49262,Steele,4.0,21508,14086,7422,0.0683,STABLE
2026-09-08,231416,F.Kadıoğlu,4.4,2840,11412,-8572,-0.0826,STABLE
2026-09-08,204120,Boscagli,4.5,948,1254,-306,-0.003,STABLE
2026-09-08,465730,De Cuyper,4.8,257360,49534,207826,1.4952,RISING_LOCK
2026-09-08,83299,Dunk,4.5,7216,3843,3373,0.0329,STABLE
2026-09-08,550090,Coppola,4.5,79,122,-43,-0.0004,STABLE
2026-09-08,223434,Igor,4.5,0,1201,-1201,-0.012,STABLE
2026-09-08,451490,Costinha,4.5,97,143,-46,-0.0005,STABLE
2026-09-08,454490,Svoboda,5.0,420,499,-79,-0.0008,STABLE
2026-09-08,451340,Mitoma,5.9,39,275,-236,-0.0024,STABLE
2026-09-08,592031,Minteh,5.9,20,435,-415,-0.0042,STABLE
2026-09-08,532529,Hinshelwood,6.0,682,22581,-21899,-0.2143,STABLE
2026-09-08,60307,Groß,5.5,127703,76607,51096,0.3859,STABLE
2026-09-08,463067,Georginio,5.5,557,8940,-8383,-0.0828,STABLE
2026-09-08,219249,O'Riley,5.5,483,743,-260,-0.0026,STABLE
2026-09-08,514254,Gomez,5.0,41742,40234,1508,0.0137,STABLE
2026-09-08,536916,Buonanotte,5.0,0,24,-24,-0.0002,STABLE
2026-09-08,509416,Ayari,5.4,904,3135,-2231,-0.0221,STABLE
2026-09-08,467779,Wieffer,5.0,46,11350,-11304,-0.1124,STABLE
2026-09-08,597320,Howell,4.5,0,322,-322,-0.0032,STABLE
2026-09-08,549074,Watson,5.0,0,14,-14,-0.0001,STABLE
2026-09-08,556637,Oriola,4.5,1216,1585,-369,-0.0037,STABLE
2026-09-08,700308,Yohanna,4.9,240,530,-290,-0.0029,STABLE
2026-09-08,608181,Tzimas,5.5,41,70,-29,-0.0003,STABLE
2026-09-08,647850,Kostoulas,5.5,7048,3290,3758,0.0372,STABLE
2026-09-08,487117,Ferguson,5.0,221,295,-74,-0.0007,STABLE
2026-09-08,222694,Struijk,5.0,647,1182,-535,-0.0053,STABLE
2026-09-08,610799,Vuskovic,5.0,47960,12835,35125,0.3326,STABLE
2026-09-08,538007,David,6.0,1512,2615,-1103,-0.011,STABLE
2026-09-08,612855,Osman,5.0,88,159,-71,-0.0007,STABLE
2026-09-08,611695,Yalcouyé,4.5,83073,21991,61082,0.5795,STABLE
2026-09-08,512123,Hadjam,4.5,225,350,-125,-0.0013,STABLE
2026-09-08,519324,Cozier-Duberry,5.0,0,28,-28,-0.0003,STABLE
2026-09-08,592984,Andrés,5.5,318,93,225,0.0022,STABLE
2026-09-08,471551,Azeez,5.5,80,26,54,0.0005,STABLE
2026-09-08,98980,Martinez,5.0,56567,22080,34487,0.3141,STABLE
