date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-10,154561,Raya,6.0,148985,123874,25111,0.1412,STABLE
2026-09-10,109745,Arrizabalaga,4.9,224,600,-376,-0.0038,STABLE
2026-09-10,437495,Meslier,4.9,83,218,-135,-0.0014,STABLE
2026-09-10,226597,Gabriel,8.0,35125,151403,-116278,-0.7793,FALLING_ALERT
2026-09-10,445122,J.Timber,6.5,490,1030,-540,-0.0054,STABLE
2026-09-10,462424,Saliba,5.9,620,2637,-2017,-0.0201,STABLE
2026-09-10,499169,Lewis-Skelly,5.5,4974,6859,-1885,-0.0186,STABLE
2026-09-10,466075,Calafiori,5.7,301764,55269,246495,1.2576,RISING_LOCK
2026-09-10,448104,Hincapie,5.3,2632,12946,-10314,-0.1009,STABLE
2026-09-10,198869,White,5.5,77005,70787,6218,0.054,STABLE
2026-09-10,500040,Mosquera,5.4,619,109360,-108741,-1.0201,FALLING_LOCK
2026-09-10,223340,Saka,9.5,127835,84498,43337,0.3529,STABLE
2026-09-10,204480,Rice,7.4,17587,91245,-73658,-0.58,STABLE
2026-09-10,232413,Eze,6.4,2882,19905,-17023,-0.1659,STABLE
2026-09-10,184029,Ødegaard,6.6,370545,67870,302675,2.3427,RISING_LOCK
2026-09-10,248857,Madueke,6.3,1156,2997,-1841,-0.0183,STABLE
2026-09-10,195384,Merino,5.9,1416,7249,-5833,-0.0578,STABLE
2026-09-10,444145,Martinelli,6.3,0,5031,-5031,-0.0502,STABLE
2026-09-10,481655,Zubimendi,5.4,1185,8215,-7030,-0.0693,STABLE
2026-09-10,616077,Dowman,5.3,448,946,-498,-0.005,STABLE
2026-09-10,499175,Nwaneri,5.4,0,268,-268,-0.0027,STABLE
2026-09-10,438098,Fábio Vieira,5.5,0,217,-217,-0.0022,STABLE
2026-09-10,200641,Nelson,5.5,0,77,-77,-0.0008,STABLE
2026-09-10,224117,Gyökeres,7.3,4599,61481,-56882,-0.5267,STABLE
2026-09-10,219847,Havertz,7.5,119602,47133,72469,0.6291,STABLE
2026-09-10,205651,G.Jesus,5.9,0,6340,-6340,-0.0631,STABLE
2026-09-10,199798,Konsa,4.4,343648,62333,281315,2.2012,RISING_LOCK
2026-09-10,208706,Bruno G.,6.8,1531,25285,-23754,-0.2293,STABLE
2026-09-10,439509,Tzolis,6.4,48229,244490,-196261,-1.4625,FALLING_LOCK
2026-09-10,72147,M.Bizot,4.5,677,1063,-386,-0.0039,STABLE
2026-09-10,101188,Digne,4.5,0,684,-684,-0.0068,STABLE
2026-09-10,199796,Cash,4.5,17468,36408,-18940,-0.167,STABLE
2026-09-10,149484,Mings,4.5,2274,1483,791,0.0078,STABLE
2026-09-10,244954,Pau,4.5,1393,3518,-2125,-0.0211,STABLE
2026-09-10,515597,Bogarde,5.0,478,775,-297,-0.003,STABLE
2026-09-10,441302,Maatsen,4.5,7014,3773,3241,0.0319,STABLE
