date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-14,154561,Raya,6.0,98457,16187,82270,0.4576,STABLE
2026-09-14,109745,Arrizabalaga,4.9,58,204,-146,-0.0015,STABLE
2026-09-14,437495,Meslier,4.9,31,78,-47,-0.0005,STABLE
2026-09-14,226597,Gabriel,8.0,15452,36418,-20966,-0.1424,STABLE
2026-09-14,445122,J.Timber,6.5,6273,797,5476,0.0547,STABLE
2026-09-14,462424,Saliba,5.9,187,879,-692,-0.0069,STABLE
2026-09-14,499169,Lewis-Skelly,5.5,1169,4041,-2872,-0.0284,STABLE
2026-09-14,466075,Calafiori,5.8,101743,19265,82478,0.4128,STABLE
2026-09-14,448104,Hincapie,5.3,951,6933,-5982,-0.0586,STABLE
2026-09-14,198869,White,5.5,12001,75225,-63224,-0.5546,STABLE
2026-09-14,500040,Mosquera,5.4,74,32990,-32916,-0.3153,STABLE
2026-09-14,223340,Saka,9.5,55103,17594,37509,0.3035,STABLE
2026-09-14,204480,Rice,7.4,9040,27707,-18667,-0.1486,STABLE
2026-09-14,232413,Eze,6.3,886,7316,-6430,-0.0629,STABLE
2026-09-14,184029,Ødegaard,6.7,108492,35201,73291,0.5311,STABLE
2026-09-14,248857,Madueke,6.3,188,1548,-1360,-0.0135,STABLE
2026-09-14,195384,Merino,5.8,447,2754,-2307,-0.0229,STABLE
2026-09-14,444145,Martinelli,6.3,0,701,-701,-0.007,STABLE
2026-09-14,481655,Zubimendi,5.3,512,3617,-3105,-0.0307,STABLE
2026-09-14,616077,Dowman,5.3,137,422,-285,-0.0028,STABLE
2026-09-14,499175,Nwaneri,5.4,0,60,-60,-0.0006,STABLE
2026-09-14,438098,Fábio Vieira,5.5,0,36,-36,-0.0004,STABLE
2026-09-14,200641,Nelson,5.5,0,21,-21,-0.0002,STABLE
2026-09-14,224117,Gyökeres,7.2,1236,21999,-20763,-0.194,STABLE
2026-09-14,219847,Havertz,7.6,31562,32061,-499,-0.0043,STABLE
2026-09-14,205651,G.Jesus,5.9,0,1019,-1019,-0.0101,STABLE
2026-09-14,199798,Konsa,4.5,119931,15588,104343,0.7706,RISING_ALERT
2026-09-14,208706,Bruno G.,6.7,6060,3464,2596,0.0251,STABLE
2026-09-14,439509,Tzolis,6.4,11023,96723,-85700,-0.6582,STABLE
2026-09-14,72147,M.Bizot,4.5,152,423,-271,-0.0027,STABLE
2026-09-14,101188,Digne,4.5,0,201,-201,-0.002,STABLE
2026-09-14,199796,Cash,4.5,386,48323,-47937,-0.4311,STABLE
2026-09-14,149484,Mings,4.5,956,1614,-658,-0.0065,STABLE
2026-09-14,244954,Pau,4.5,170,2760,-2590,-0.0257,STABLE
2026-09-14,515597,Bogarde,5.0,205,370,-165,-0.0016,STABLE
2026-09-14,441302,Maatsen,4.5,479,9572,-9093,-0.0895,STABLE
2026-09-14,184667,Lindelöf,4.5,970,924,46,0.0005,STABLE
2026-09-14,606798,A.García,4.0,3088,4796,-1708,-0.0166,STABLE
2026-09-14,578545,Nedeljkovic,4.0,0,444,-444,-0.0044,STABLE
2026-09-14,195546,Buendía,5.9,1185,7424,-6239,-0.0612,STABLE
2026-09-14,215711,Bailey,5.4,0,676,-676,-0.0067,STABLE
2026-09-14,122806,McGinn,5.4,5109,6926,-1817,-0.0174,STABLE
2026-09-14,88894,Barkley,5.0,708,1213,-505,-0.005,STABLE
2026-09-14,226944,Kamara,5.0,653,1633,-980,-0.0097,STABLE
2026-09-14,449871,Onana,4.9,26,80,-54,-0.0005,STABLE
2026-09-14,469247,Iling Jr,5.0,0,9,-9,-0.0001,STABLE
2026-09-14,645618,Burrowes,4.5,868,2593,-1725,-0.017,STABLE
2026-09-14,577285,George Hemmings,4.5,5454,5329,125,0.0012,STABLE
2026-09-14,653481,Alysson,5.0,562,167,395,0.004,STABLE
2026-09-14,614071,Manzambi,5.9,587,380,207,0.0021,STABLE
2026-09-14,448089,Gomes,5.5,165,88,77,0.0008,STABLE
2026-09-14,178301,Watkins,7.8,0,14732,-14732,-0.1395,STABLE
2026-09-14,173879,Abraham,5.5,759,834,-75,-0.0007,STABLE
2026-09-14,493105,Garnacho,5.8,259,3039,-2780,-0.0276,STABLE
2026-09-14,517052,N.Jackson,6.5,4585,11488,-6903,-0.0674,STABLE
2026-09-14,690838,Madjo,5.4,109,1491,-1382,-0.0138,STABLE
2026-09-14,487992,Ruggeri,4.5,185,443,-258,-0.0026,STABLE
2026-09-14,433969,Suzuki,5.0,5717,5751,-34,-0.0003,STABLE
2026-09-14,569577,Rowe,4.0,753,583,170,0.0017,STABLE
2026-09-14,571380,Lynch,4.5,0,582,-582,-0.0058,STABLE
2026-09-14,214590,Wan-Bissaka,4.5,1633,607,1026,0.0102,STABLE
2026-09-14,119090,Goretzka,6.0,21,698,-677,-0.0068,STABLE
2026-09-14,245719,Harwood-Bellis,4.5,110,137,-27,-0.0003,STABLE
