date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-11,154561,Raya,6.0,196946,169751,27195,0.1528,STABLE
2026-09-11,109745,Arrizabalaga,4.9,254,733,-479,-0.0048,STABLE
2026-09-11,437495,Meslier,4.9,100,276,-176,-0.0018,STABLE
2026-09-11,226597,Gabriel,8.0,44851,200417,-155566,-1.0483,FALLING_LOCK
2026-09-11,445122,J.Timber,6.5,574,1237,-663,-0.0066,STABLE
2026-09-11,462424,Saliba,5.9,682,2987,-2305,-0.023,STABLE
2026-09-11,499169,Lewis-Skelly,5.5,5982,8991,-3009,-0.0297,STABLE
2026-09-11,466075,Calafiori,5.8,391623,73553,318070,1.6113,RISING_LOCK
2026-09-11,448104,Hincapie,5.3,3286,16060,-12774,-0.1252,STABLE
2026-09-11,198869,White,5.5,97910,93347,4563,0.0396,STABLE
2026-09-11,500040,Mosquera,5.4,683,152937,-152254,-1.4418,FALLING_LOCK
2026-09-11,223340,Saka,9.5,165344,117229,48115,0.3912,STABLE
2026-09-11,204480,Rice,7.4,21899,121780,-99881,-0.7902,FALLING_ALERT
2026-09-11,232413,Eze,6.4,3407,24838,-21431,-0.2093,STABLE
2026-09-11,184029,Ødegaard,6.7,596032,90060,505972,3.7816,RISING_LOCK
2026-09-11,248857,Madueke,6.3,1312,3759,-2447,-0.0244,STABLE
2026-09-11,195384,Merino,5.9,1685,8621,-6936,-0.0688,STABLE
2026-09-11,444145,Martinelli,6.3,0,5665,-5665,-0.0565,STABLE
2026-09-11,481655,Zubimendi,5.4,1355,10615,-9260,-0.0913,STABLE
2026-09-11,616077,Dowman,5.3,551,1165,-614,-0.0061,STABLE
2026-09-11,499175,Nwaneri,5.4,0,300,-300,-0.003,STABLE
2026-09-11,438098,Fábio Vieira,5.5,0,240,-240,-0.0024,STABLE
2026-09-11,200641,Nelson,5.5,0,93,-93,-0.0009,STABLE
2026-09-11,224117,Gyökeres,7.2,5430,79176,-73746,-0.6854,STABLE
2026-09-11,219847,Havertz,7.5,156592,61338,95254,0.8226,RISING_ALERT
2026-09-11,205651,G.Jesus,5.9,0,7124,-7124,-0.071,STABLE
2026-09-11,199798,Konsa,4.4,513083,78887,434196,3.3145,RISING_LOCK
2026-09-11,208706,Bruno G.,6.8,1970,31931,-29961,-0.2898,STABLE
2026-09-11,439509,Tzolis,6.4,64609,318452,-253843,-1.9115,FALLING_LOCK
2026-09-11,72147,M.Bizot,4.5,845,1342,-497,-0.005,STABLE
2026-09-11,101188,Digne,4.5,0,821,-821,-0.0082,STABLE
2026-09-11,199796,Cash,4.5,18135,67254,-49119,-0.4355,STABLE
2026-09-11,149484,Mings,4.5,3790,1980,1810,0.018,STABLE
2026-09-11,244954,Pau,4.5,2576,4471,-1895,-0.0188,STABLE
2026-09-11,515597,Bogarde,5.0,591,945,-354,-0.0035,STABLE
2026-09-11,441302,Maatsen,4.5,11729,5243,6486,0.0638,STABLE
2026-09-11,184667,Lindelöf,4.5,3479,1681,1798,0.0179,STABLE
2026-09-11,606798,A.García,4.0,10528,14382,-3854,-0.0373,STABLE
2026-09-11,578545,Nedeljkovic,4.0,0,1871,-1871,-0.0187,STABLE
2026-09-11,195546,Buendía,5.9,10813,17295,-6482,-0.0635,STABLE
2026-09-11,215711,Bailey,5.4,0,4137,-4137,-0.0413,STABLE
2026-09-11,122806,McGinn,5.4,14494,26358,-11864,-0.1134,STABLE
2026-09-11,88894,Barkley,5.0,4124,2989,1135,0.0113,STABLE
2026-09-11,226944,Kamara,5.0,3035,3862,-827,-0.0082,STABLE
2026-09-11,449871,Onana,5.0,90,232,-142,-0.0014,STABLE
2026-09-11,469247,Iling Jr,5.0,0,19,-19,-0.0002,STABLE
2026-09-11,645618,Burrowes,4.5,5949,7173,-1224,-0.0121,STABLE
2026-09-11,577285,George Hemmings,4.5,41865,17935,23930,0.2332,STABLE
2026-09-11,653481,Alysson,5.0,422,595,-173,-0.0017,STABLE
2026-09-11,614071,Manzambi,5.9,408,1588,-1180,-0.0118,STABLE
2026-09-11,448089,Gomes,5.5,108,438,-330,-0.0033,STABLE
2026-09-11,178301,Watkins,7.8,0,109670,-109670,-1.0327,FALLING_LOCK
2026-09-11,173879,Abraham,5.5,3583,2340,1243,0.0124,STABLE
2026-09-11,493105,Garnacho,5.9,1334,7232,-5898,-0.0585,STABLE
2026-09-11,517052,N.Jackson,6.5,33739,14756,18983,0.1854,STABLE
2026-09-11,690838,Madjo,5.5,309,4669,-4360,-0.0433,STABLE
2026-09-11,487992,Ruggeri,4.5,224,991,-767,-0.0077,STABLE
2026-09-11,433969,Suzuki,5.0,64492,14225,50267,0.4861,STABLE
2026-09-11,569577,Rowe,4.0,2426,1520,906,0.009,STABLE
2026-09-11,571380,Lynch,4.5,0,2683,-2683,-0.0268,STABLE
2026-09-11,214590,Wan-Bissaka,4.5,2984,1844,1140,0.0114,STABLE
2026-09-11,119090,Goretzka,6.0,884,1782,-898,-0.009,STABLE
2026-09-11,245719,Harwood-Bellis,4.5,546,227,319,0.0032,STABLE
2026-09-11,638987,Mbaye,6.0,2425,1257,1168,0.0117,STABLE
2026-09-11,457569,Petrović,4.5,21967,29334,-7367,-0.0691,STABLE
2026-09-11,40383,Forster,4.0,31469,16370,15099,0.1411,STABLE
2026-09-11,444172,Dennis,4.0,0,1329,-1329,-0.0133,STABLE
2026-09-11,463981,Hill,5.5,5992,8418,-2426,-0.0239,STABLE
2026-09-11,494521,Truffert,5.5,9206,37595,-28389,-0.2658,STABLE
2026-09-11,242882,Diakité,5.0,1059,2288,-1229,-0.0122,STABLE
2026-09-11,620487,Milosavljević,5.0,58,142,-84,-0.0008,STABLE
2026-09-11,54469,Smith,4.5,1154,1413,-259,-0.0026,STABLE
2026-09-11,436893,J.Araujo,4.4,84,201,-117,-0.0012,STABLE
2026-09-11,575901,Soler,4.0,3396,2272,1124,0.0112,STABLE
