player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_defensive_contribution_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_defensive_contribution_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_defensive_contribution,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_defensive_contribution,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
248857,Madueke,Arsenal,MID,1205,16,0,0,3233,0.302,0.1592,1.1781,1.9487,0.5846,263,0.0684,0.2498,0.8247,6.5019,1.0266,1.7351,0.8528,1.76,0.8417,10.85,5.72,42.32,70.0,21,679,18.9019,0.2,0.73,2.41,19,3,64,21.9011,16
444145,Martinelli,Arsenal,MID,1065,11,0,0,3349,0.3023,0.154,0.9871,2.0693,0.2419,173,0.3069,0.1353,1.2017,6.2428,1.0405,1.7351,0.8528,1.76,0.8417,11.25,5.73,36.730000000000004,77.0,9,617,16.5811,0.5900000000000001,0.26,2.31,12,2,33,17.1676,11
116216,Trossard,Arsenal,MID,1997,21,0,0,4543,0.2445,0.1527,0.7667,2.6348,0.5745,286,0.2014,0.2769,0.5381,5.035,0.6294,1.7351,0.8528,1.76,0.8417,12.34,7.71,38.7,133.0,29,1006,19.9296,0.64,0.88,1.71,16,2,90,28.3217,21
204480,Rice,Arsenal,MID,3093,35,0,0,5916,0.1013,0.1972,0.7759,5.7201,0.6085,423,0.0,0.1191,0.8298,11.0638,0.0,1.7351,0.8528,1.76,0.8417,6.66,12.96,51.0,376.0,40,1417,21.5568,0.0,0.56,3.9,52,0,69,14.6809,35
195384,Merino,Arsenal,MID,1024,10,0,0,2599,0.3155,0.0911,0.7989,3.913,0.4502,28,1.1893,0.0,2.475,6.4286,0.0,1.7351,0.8528,1.76,0.8417,9.11,2.63,23.07,113.0,13,562,19.4613,0.37,0.0,0.77,2,0,-2,-6.4286,10
438098,Fábio Vieira,Arsenal,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
128295,Nørgaard,Arsenal,MID,101,1,0,0,2921,0.1328,0.0438,1.4426,0.493,0.2157,45,0.06,0.08,0.1,10.0,0.0,1.7351,0.8528,1.76,0.8417,4.31,1.42,46.82,16.0,7,608,18.7333,0.03,0.04,0.05,5,0,9,18.0,1
499175,Nwaneri,Arsenal,MID,165,0,0,0,1047,0.1221,0.1599,0.5252,1.1175,0.3438,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,1.42,1.8599999999999999,6.11,13.0,4,271,23.2951,0.0,0.0,0.0,0,0,0,0.0,0
481655,Zubimendi,Arsenal,MID,2991,34,0,0,2991,0.0855,0.0683,0.7851,9.2377,0.2708,319,0.0197,0.0197,1.0834,11.2853,0.0,1.7351,0.8528,1.76,0.8417,2.84,2.27,26.09,307.0,9,604,18.1745,0.07,0.07,3.84,40,0,60,16.9279,34
588796,Kabia,Arsenal,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
437742,Sambi,Arsenal,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
219847,Havertz,Arsenal,FWD,577,7,0,0,2449,0.4719,0.0842,0.9555,1.176,0.6247,263,0.6981,0.1848,1.2217,3.7643,1.0266,1.7351,0.8528,1.76,0.8417,12.84,2.29,26.0,32.0,17,486,17.8604,2.04,0.54,3.5700000000000003,11,3,91,31.1407,7
205651,G.Jesus,Arsenal,FWD,418,3,0,0,1018,0.5092,0.069,0.8655,2.6523,0.5305,100,0.792,0.027,0.36,3.6,0.0,1.7351,0.8528,1.76,0.8417,5.76,0.78,9.790000000000001,30.0,6,244,21.5717,0.88,0.03,0.4,4,0,19,17.1,3
232413,Eze,Arsenal,MID,1885,22,0,0,4473,0.3133,0.1475,0.9907,2.4145,0.4628,355,0.3296,0.0887,0.867,4.8169,0.0,1.7351,0.8528,1.76,0.8417,15.57,7.33,49.24,120.0,23,1044,21.006,1.3,0.35000000000000003,3.42,19,0,73,18.507,22
500040,Mosquera,Arsenal,DEF,986,9,0,0,986,0.0091,0.0575,0.8252,8.6714,0.0913,305,0.0295,0.0384,1.0446,7.377,0.0,1.7351,0.8528,1.76,0.8417,0.1,0.63,9.04,95.0,1,195,17.7992,0.1,0.13,3.54,25,0,43,12.6885,9
224117,Gyökeres,Arsenal,FWD,2217,26,0,0,2217,0.4977,0.0788,0.723,3.4506,0.6495,239,0.7569,0.064,1.0431,4.5188,1.1297,1.7351,0.8528,1.76,0.8417,12.26,1.94,17.81,85.0,16,474,19.2422,2.01,0.17,2.77,12,3,86,32.3849,26
616077,Dowman,Arsenal,MID,152,1,0,0,152,0.7046,0.1776,0.5211,9.4737,0.0,73,0.0986,0.1973,0.2589,11.0959,0.0,1.7351,0.8528,1.76,0.8417,1.19,0.30000000000000004,0.88,16.0,0,51,30.1974,0.08,0.16,0.21,9,0,8,9.863,1
646243,Harriman-Annous,Arsenal,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
448104,Hincapie,Arsenal,DEF,1787,20,0,0,1787,0.0181,0.0841,0.8829,8.6122,0.3525,288,0.0094,0.0875,1.0438,9.375,0.3125,1.7351,0.8528,1.76,0.8417,0.36,1.67,17.53,171.0,7,335,16.8719,0.03,0.28,3.34,30,1,53,16.5625,20
616065,Salmon,Arsenal,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
98980,Martinez,Aston Villa,GK,2835,32,0,0,6030,0.0,0.0015,1.3121,0.0,0.2537,450,0.0,0.004,1.424,0.0,0.2,1.453,1.3926,1.5933,1.41,0.0,0.1,87.91,0.0,17,987,14.7313,0.0,0.02,7.12,0,1,77,15.4,32
72147,M.Bizot,Aston Villa,GK,585,6,0,0,585,0.0,0.0,1.6954,0.0,0.0,90,0.0,0.0,1.34,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,11.02,0.0,0,75,11.5385,0.0,0.0,1.34,0,0,10,10.0,6
462492,Gauci,Aston Villa,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
462381,Marschall,Aston Villa,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
199796,Cash,Aston Villa,DEF,3016,34,0,0,5085,0.0287,0.0738,1.3113,3.292,0.1593,484,0.0037,0.0446,1.3221,5.2066,0.186,1.453,1.3926,1.5933,1.41,1.62,4.17,74.09,186.0,9,736,13.0265,0.02,0.24000000000000002,7.109999999999999,28,1,42,7.8099,34
101188,Digne,Aston Villa,DEF,1842,21,0,0,4190,0.0316,0.1557,1.3474,2.4272,0.2578,216,0.025,0.2,1.7625,5.0,0.0,1.453,1.3926,1.5933,1.41,1.47,7.25,62.73,113.0,12,764,16.4105,0.060000000000000005,0.48,4.2299999999999995,12,0,31,12.9167,21
199798,Konsa,Aston Villa,DEF,3035,34,0,0,5971,0.0386,0.0181,1.398,2.9543,0.1959,360,0.0,0.0075,1.5325,4.75,0.0,1.453,1.3926,1.5933,1.41,2.56,1.2,92.75,196.0,13,945,14.2438,0.0,0.03,6.13,19,0,36,9.0,34
441302,Maatsen,Aston Villa,DEF,1590,17,0,0,2715,0.0706,0.1598,1.4569,4.2431,0.0331,327,0.0165,0.1486,1.2413,7.4312,0.2752,1.453,1.3926,1.5933,1.41,2.13,4.82,43.95,128.0,1,446,14.7845,0.06,0.54,4.51,27,1,34,9.3578,17
149484,Mings,Aston Villa,DEF,1322,15,0,0,2441,0.0804,0.024,1.3483,3.9451,0.3318,360,0.0725,0.0125,1.4625,6.75,0.0,1.453,1.3926,1.5933,1.41,2.18,0.65,36.57,107.0,9,376,13.8632,0.29000000000000004,0.05,5.85,27,0,21,5.25,15
244954,Pau,Aston Villa,DEF,1673,18,0,0,3692,0.0449,0.02,1.2798,2.7302,0.1219,197,0.3198,0.0091,1.2518,5.0254,0.0,1.453,1.3926,1.5933,1.41,1.84,0.8200000000000001,52.5,112.0,5,534,13.0173,0.7000000000000001,0.02,2.7399999999999998,11,0,19,8.6802,18
606798,A.García,Aston Villa,DEF,83,1,0,0,399,0.009,0.1128,2.082,2.2556,0.0,45,0.0,0.0,2.38,18.0,0.0,1.453,1.3926,1.5933,1.41,0.04,0.5,9.23,10.0,0,38,8.5714,0.0,0.0,1.19,9,0,5,10.0,1
106468,Alex Moreno,Aston Villa,DEF,0,0,0,0,952,0.0161,0.104,1.3179,0.0,0.0945,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.17,1.0999999999999999,13.94,0.0,1,126,11.9118,0.0,0.0,0.0,0,0,0,0.0,0
515597,Bogarde,Aston Villa,DEF,1042,11,0,0,1515,0.0024,0.0196,1.465,3.5644,0.2376,245,0.0,0.0037,1.2453,4.4082,0.0,1.453,1.3926,1.5933,1.41,0.04,0.33,24.66,60.0,4,143,8.495,0.0,0.01,3.3899999999999997,12,0,14,5.1429,11
514315,Sousa,Aston Villa,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
587178,Yasin,Aston Villa,DEF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
244850,Rogers,Aston Villa,MID,3280,37,0,0,6395,0.1876,0.1345,1.3405,3.2369,0.4504,450,0.174,0.162,1.424,6.2,0.8,1.453,1.3926,1.5933,1.41,13.33,9.56,95.25,230.0,32,1139,16.0297,0.87,0.81,7.12,31,4,99,19.8,37
166989,Tielemans,Aston Villa,MID,1857,21,0,0,4882,0.082,0.1676,1.3865,3.7423,0.3318,449,0.0301,0.1122,1.365,9.6214,0.0,1.453,1.3926,1.5933,1.41,4.45,9.09,75.21,203.0,18,1103,20.3339,0.15000000000000002,0.56,6.81,48,0,99,19.8441,21
215711,Bailey,Aston Villa,MID,450,3,0,0,1582,0.1269,0.2492,1.1913,2.7307,0.1138,116,0.1474,0.194,1.2879,11.6379,0.0,1.453,1.3926,1.5933,1.41,2.23,4.38,20.94,48.0,2,243,13.8243,0.19,0.25,1.6600000000000001,15,0,27,20.9483,3
195546,Buendía,Aston Villa,MID,1753,21,0,0,1842,0.1969,0.1104,1.4805,9.6254,0.4886,288,0.15,0.0937,1.6031,11.5625,0.625,1.453,1.3926,1.5933,1.41,4.03,2.2600000000000002,30.3,197.0,10,419,20.4723,0.48,0.3,5.13,37,2,87,27.1875,21
469247,Iling Jr,Aston Villa,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
204646,Malen,Aston Villa,MID,640,5,0,0,936,0.5942,0.0481,1.4769,1.5385,0.5769,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,6.18,0.5,15.36,16.0,6,273,26.25,0.0,0.0,0.0,0,0,0,0.0,5
122806,McGinn,Aston Villa,MID,2136,28,0,0,4353,0.1261,0.1408,1.4082,3.1013,0.1447,329,0.0766,0.4897,1.1599,4.3769,0.0,1.453,1.3926,1.5933,1.41,6.1000000000000005,6.8100000000000005,68.11,150.0,7,803,16.6023,0.28,1.79,4.24,16,0,94,25.7143,28
88894,Barkley,Aston Villa,MID,844,7,0,0,1411,0.215,0.1078,1.2451,4.7201,0.6378,378,0.1976,0.0381,1.3238,5.2381,0.4762,1.453,1.3926,1.5933,1.41,3.37,1.69,19.52,74.0,10,387,24.6846,0.8300000000000001,0.16,5.56,22,2,58,13.8095,7
491287,Barrenechea,Aston Villa,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
461421,Dobbin,Aston Villa,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
226944,Kamara,Aston Villa,MID,1410,17,0,0,3130,0.0388,0.048,1.2603,4.2843,0.2875,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,1.35,1.6700000000000002,43.83,149.0,10,578,16.6198,0.0,0.0,0.0,0,0,0,0.0,17
449871,Onana,Aston Villa,MID,1755,21,0,0,3368,0.1015,0.0409,1.3946,5.8521,0.2405,107,0.2355,0.0084,1.5645,7.5701,0.0,1.453,1.3926,1.5933,1.41,3.8000000000000003,1.53,52.19,219.0,9,677,18.0909,0.28,0.01,1.8599999999999999,9,0,12,10.0935,21
577731,Broggio,Aston Villa,MID,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.453,1.3926,1.5933,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
